time,lat,lon,elev,speed,houi
2023-01-03 22:59:40,32.61101758272611,131.673775710843,16.52554002404214,0.0,204.66102305744462
2023-01-03 22:59:41.999000,32.61101578523046,131.6737747357755,16.95337870727954,0.3822983388041801,347.77332319164
2023-01-03 22:59:45.169000,32.61102044586151,131.6737735425296,17.08193458822123,0.6002771687580014,350.7145335666867
2023-01-03 23:00:01.999000,32.61104648155941,131.6737685131752,17.28427641559392,0.6272205598503714,53.224693326794764
2023-01-03 23:00:04,32.61104876141475,131.6737721171092,17.06967634540607,0.744491847072285,106.57128626417412
2023-01-03 23:00:20.648000,32.61104356346721,131.6737927558314,17.41534440153472,0.4364528851679818,134.42968966657264
2023-01-03 23:01:45,32.61094674482779,131.6739094477845,19.16835078876466,0.6547440104813066,168.40551296784483
2023-01-03 23:01:46.999000,32.61081013148607,131.6739425641501,18.94685149641472,27.92086807198653,160.59075639138644
2023-01-03 23:01:49,32.61067373761451,131.67399934312,18.83092930052549,28.91436519205655,155.40951625583767
2023-01-03 23:01:51,32.61053148369116,131.6740762591918,18.78624996568019,31.28615754420666,152.8793014182361
2023-01-03 23:01:53,32.6103843228538,131.6741653123642,18.62686089901926,33.06055473488677,148.31510085719137
2023-01-03 23:01:55,32.610243767715,131.6742678159577,18.25239163904094,33.01636202065992,142.61663597069125
2023-01-03 23:01:57,32.6101210433398,131.6743786087199,17.90043775950258,30.8595038800766,133.28740089802483
2023-01-03 23:01:58.999000,32.61003306648898,131.6744889600521,17.7395617350115,25.62939012198808,115.40679278817413
2023-01-03 23:02:07,32.60990947747077,131.674796381258,16.67323633097111,14.35598231705473,128.29411540516574
2023-01-03 23:02:08.999000,32.60982190805841,131.674927415013,16.89547758408788,28.21454982332073,134.10887608848296
2023-01-03 23:02:10.999000,32.60970655747359,131.675068007032,16.74751320711048,33.08968959443253,135.288277020791
2023-01-03 23:02:12.999000,32.60957195580428,131.6752254448172,16.25185849135192,37.82012092103338,132.48016860170668
2023-01-03 23:02:14.999000,32.60944286582033,131.6753920045438,15.71376944970687,38.15910100985444,128.95353846089975
2023-01-03 23:02:16.999000,32.6093283633077,131.6755593421368,15.37531656360064,36.34801677224762,130.6343386861658
2023-01-03 23:02:18.999000,32.60920881729157,131.6757239315859,15.08276666802448,36.64087320500867,135.2459516222781
2023-01-03 23:02:20.999000,32.60907113235264,131.675885212944,14.71839218559841,38.71483334068671,137.5414211625786
2023-01-03 23:02:23,32.60893541908415,131.6760319264618,14.1945668223569,36.71961476458223,129.98527449266615
2023-01-03 23:02:24.999000,32.60883021101741,131.6761801398131,13.543681656668,32.69444360740013,110.72515828041362
2023-01-03 23:02:26.999000,32.60877258089666,131.6763600917916,12.90932699728124,32.45887678801678,94.35927264574424
2023-01-03 23:02:28.999000,32.6087578213022,131.6765888427336,12.37790926880507,38.68087659461575,91.04738751424358
2023-01-03 23:02:30.999000,32.60875370013986,131.6768551493423,11.96194529605231,44.90759512345689,93.6970201215009
2023-01-03 23:02:32.999000,32.60873822729879,131.6771380628361,11.67849651517963,47.80006865251804,94.61672814219189
2023-01-03 23:02:34.999000,32.60871953783668,131.6774115026975,11.4720964434792,46.25423086669558,89.44155194697761
2023-01-03 23:02:36.999000,32.60872163544396,131.6776657922527,11.1826437086155,42.8757655798571,83.33035597176337
2023-01-03 23:02:38.999000,32.60874669140423,131.6779189508282,10.77902894766289,42.97644499286102,84.90211621548903
2023-01-03 23:02:40.999000,32.60876701532262,131.6781881187652,10.25748116380905,45.56346018040693,89.46288854351387
2023-01-03 23:02:42.999000,32.60876923599945,131.6784680278724,9.64932321543276,47.1948030388379,89.14228438327534
2023-01-03 23:02:44.999000,32.60877259311521,131.678732984349,9.153504996825552,44.67681347426408,85.31629328174078
2023-01-03 23:02:47,32.60878724392116,131.6789442632388,8.936949722928597,35.72417822849345,117.09318672962007
2023-01-03 23:02:56.999000,32.60868739343089,131.6791748657705,9.218826236203308,8.743968110144536,198.15554839411905
2023-01-03 23:02:58.999000,32.60852354520782,131.679111385522,9.002606619613445,34.49647241787001,197.49680354356823
2023-01-03 23:03:00.999000,32.60833973751622,131.6790429274694,8.984612216583837,38.55687002476487,196.66261957177576
2023-01-03 23:03:02.999000,32.60812976047337,131.6789686759305,9.084597226913754,43.85219156136741,196.23083675058967
2023-01-03 23:03:04.999000,32.60789876163395,131.6788892268872,9.221170990042188,48.13610567140137,196.38853808038056
2023-01-03 23:03:06.999000,32.60765303505106,131.6788038451789,9.3548547799728,51.24569044134331,196.64022941709828
2023-01-03 23:03:08.999000,32.60740120318358,131.6787149204477,9.304489812753488,52.58716983904591,196.43031070926602
2023-01-03 23:03:10.999000,32.60716315489336,131.6786319843147,9.169187946556407,49.65512145879139,192.14272265015595
2023-01-03 23:03:12.999000,32.60694643998762,131.6785768947256,9.091332047009342,44.35900941066198,183.58958070317354
2023-01-03 23:03:14.999000,32.60673757866219,131.6785614150059,9.087521045693526,41.88494564607509,176.86144638594374
2023-01-03 23:03:17.499000,32.60646480197013,131.6785790860733,9.137283884158354,43.7419130057489,175.4737959000871
2023-01-03 23:03:19.500000,32.6062437013872,131.6785997645693,9.221905645729931,44.36874233011385,175.54174968918173
2023-01-03 23:03:21.500000,32.60602531357616,131.6786198814065,9.401447930230749,43.84220192058231,175.43256867035322
2023-01-03 23:03:23.500000,32.6058090944203,131.6786402882378,9.64999335942264,43.41316335686352,175.51086861092733
2023-01-03 23:03:25.500000,32.60559277027068,131.6786603534742,9.865106990249568,43.42930357987934,175.34005365220935
