latitude,longitude,elevation,time
33.59180100222866,130.3558093231794,5.265224456787109,2026-02-28T13:54:36+00:00
33.59180431291419,130.3557339416516,5.318264007568359,2026-02-28T13:54:42+00:00
33.5917677260414,130.3556685338994,4.590053711086512,2026-02-28T13:54:48+00:00
33.59163350751551,130.3555932118024,4.661830995231867,2026-02-28T13:55:03+00:00
33.591546419443,130.3555303080078,6.951775841968967,2026-02-28T13:55:08+00:00
33.59154216344625,130.3555210257429,7.238362697108321,2026-02-28T13:55:14+00:00
33.59153782877008,130.3554903190424,7.412651582621038,2026-02-28T13:55:30+00:00
33.59154141360742,130.355460702005,7.288851084320503,2026-02-28T13:55:35+00:00
33.59149645371965,130.3554123132872,7.028024905154942,2026-02-28T13:55:40+00:00
33.59149265636953,130.3554093028941,7.057143127019863,2026-02-28T13:55:40+00:00
33.59145124945689,130.3553495194177,6.891316464350909,2026-02-28T13:55:46+00:00
33.59144382910562,130.3552762999821,6.833492460872987,2026-02-28T13:55:52+00:00
33.59144256293919,130.3552159374662,7.158556250888717,2026-02-28T13:55:57+00:00
33.59141735934291,130.3550914620848,7.583969957813776,2026-02-28T13:56:03+00:00
33.59144821120729,130.3549548848922,7.678130859277965,2026-02-28T13:56:08+00:00
33.59140551015448,130.3548278183522,7.673468598124174,2026-02-28T13:56:15+00:00
33.59123956900567,130.3547541205721,7.564793527126312,2026-02-28T13:56:28+00:00
33.59126994502978,130.3548911251802,7.499619525418174,2026-02-28T13:56:33+00:00
33.59127199277853,130.3549458694447,7.13240717845499,2026-02-28T13:56:38+00:00
33.59122691491039,130.354968722533,7.09861801882823,2026-02-28T13:56:44+00:00
33.59117395658393,130.3549128886206,6.975382092408836,2026-02-28T13:56:59.995000+00:00
33.59116972009744,130.3548558869157,7.053054604274594,2026-02-28T13:57:05.500000+00:00
33.59115745760829,130.3548003546964,7.067177752159568,2026-02-28T13:57:10.500000+00:00
33.5911417884444,130.3547404199261,6.787239962910057,2026-02-28T13:57:15.500000+00:00
33.59113050913865,130.3546816548124,6.669805801945467,2026-02-28T13:57:20.500000+00:00
