1000.0,0.0
999.53,10.4718
998.9503,20.9338
998.2612,31.3847
997.4628,41.8235
996.5553,52.2491
995.5389,62.6602
994.4137,73.0557
993.1801,83.4346
991.8382,93.7956
990.3882,104.1377
988.8305,114.4597
987.1652,124.7605
985.3927,135.039
983.5132,145.294
981.527,155.5245
979.4345,165.7293
977.2359,175.9074
974.9316,186.0575
972.522,196.1788
970.0073,206.2699
967.388,216.3299
964.6644,226.3577
961.8369,236.3522
958.9059,246.3123
955.8718,256.2369
952.7351,266.125
949.4962,275.9755
946.1555,285.7874
942.7134,295.5595
939.1705,305.291
935.5272,314.9806
931.784,324.6275
927.9414,334.2305
923.9999,343.7886
919.96,353.3008
915.8223,362.7662
911.5873,372.1836
907.2555,381.5522
902.8275,390.8708
898.3039,400.1386
893.6852,409.3545
888.972,418.5176
884.165,427.6268
879.2648,436.6813
874.2719,445.6801
869.187,454.6222
864.0108,463.5068
858.7438,472.3327
853.3868,481.0992
847.9403,489.8054
842.4052,498.4502
836.7821,507.0329
831.0716,515.5524
825.2745,524.008
819.3914,532.3987
813.4232,540.7237
807.3705,548.9822
801.2341,557.1731
795.0148,565.2958
788.7132,573.3493
782.3302,581.3329
775.8665,589.2457
769.3229,597.0869
762.7002,604.8557
755.9992,612.5513
749.2207,620.1729
742.3655,627.7197
735.4344,635.191
728.4284,642.586
721.3481,649.904
714.1945,657.1441
706.9684,664.3058
699.6707,671.3882
692.3022,678.3906
684.8638,685.3123
677.3564,692.1527
669.7808,698.9111
662.1381,705.5867
654.429,712.1789
646.6545,718.6871
638.8154,725.1106
630.9128,731.4487
622.9476,737.7009
614.9206,743.8665
606.8328,749.9449
598.6852,755.9355
590.4787,761.8378
582.2143,767.6511
573.8929,773.375
565.5155,779.0087
557.0831,784.5519
548.5966,790.0039
540.0571,795.3642
531.4655,800.6324
522.8228,805.8079
514.13,810.8902
505.3881,815.8788
496.5982,820.7733
487.7612,825.5733
478.8782,830.2782
469.9501,834.8876
460.9781,839.4011
451.9631,843.8183
442.9061,848.1388
433.8083,852.3622
424.6705,856.4881
415.494,860.5161
406.2797,864.4459
397.0287,868.2771
387.742,872.0095
378.4207,875.6425
369.0659,879.176
359.6786,882.6097
350.2598,885.9432
340.8108,889.1763
331.3324,892.3086
321.8258,895.34
312.2921,898.2702
302.7323,901.099
293.1476,903.8261
283.5389,906.4513
273.9074,908.9744
264.2542,911.3953
254.5804,913.7137
244.887,915.9294
235.1751,918.0424
225.4458,920.0525
215.7003,921.9596
205.9395,923.7635
196.1646,925.4641
186.3767,927.0613
176.5769,928.555
166.7662,929.9452
156.9458,931.2319
147.1168,932.4148
137.2802,933.4941
127.4371,934.4697
117.5887,935.3415
107.736,936.1096
97.8801,936.7739
88.0222,937.3346
78.1632,937.7915
68.3043,938.1448
58.4466,938.3945
48.5912,938.5407
38.7391,938.5834
28.8915,938.5227
19.0493,938.3588
9.2138,938.0917
-0.614,937.7215
-10.433,937.2485
-20.2423,936.6727
-30.0406,935.9942
-39.8269,935.2133
-49.6001,934.3302
-59.3592,933.3449
-69.1031,932.2578
-78.8308,931.069
-88.5411,929.7788
-98.2331,928.3873
-107.9056,926.8948
-117.5576,925.3017
-127.1881,923.608
-136.7961,921.8142
-146.3804,919.9205
-155.94,917.9272
-165.474,915.8346
-174.9812,913.643
-184.4607,911.3528
-193.9114,908.9643
-203.3324,906.4779
-212.7225,903.8938
-222.0808,901.2126
-231.4063,898.4345
-240.698,895.56
-249.9548,892.5895
-259.1759,889.5233
-268.3601,886.362
-277.5066,883.1058
-286.6143,879.7554
-295.6823,876.3111
-304.7096,872.7734
