prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.58839093896894, 130.3560768050424]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58837217485075, 130.35594778662528)"
-111.51047540998005,"[33.58850716034284, 130.3560415805134]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58849100567462, 130.35593050416534)"
-213.87439126183818,"[33.58861124053, 130.3560210318587]","(9435, 9436)","(33.58849100567462, 130.35593050416534)","(33.58859585659299, 130.35591525490815)"
-320.03637647485743,"[33.58872554454355, 130.356006464111]","(9435, 9436)","(33.58859585659299, 130.35591525490815)","(33.58870986773185, 130.35589867341125)"
-412.91148461663647,"[33.58881333659737, 130.3559863307796]","(9435, 9436)","(33.58870986773185, 130.35589867341125)","(33.588798708755725, 130.35588575259334)"
-439.1534582856711,"[33.58888560536651, 130.3559238688372]","(9435, 9436)","(33.588798708755725, 130.35588575259334)","(33.58887837669277, 130.3558741658864)"
-443.3918533675179,"[33.58896469700484, 130.3558629491649]","(9435, 9436)","(33.58887837669277, 130.3558741658864)","(33.588964506512866, 130.35586163937927)"
-449.10903623958956,"[33.58906300834714, 130.3558628150545]","(9435, 9566)","(33.588964506512866, 130.35586163937927)","(33.58906039346972, 130.35584748533566)"
-459.17403076644547,"[33.58914683576076, 130.3558616248242]","(9435, 9566)","(33.58906039346972, 130.35584748533566)","(33.58914279091231, 130.35583439507124)"
-473.00383367063193,"[33.58921344674526, 130.3557914012394]","(9416, 9566)","(33.58914279091231, 130.35583439507124)","(33.58921813947786, 130.35582327271493)"
-590.9303286122805,"[33.58921739462166, 130.3556880188457]","(9414, 9416)","(33.58921813947786, 130.35582327271493)","(33.5892913, 130.3558124)"
-707.6237975551295,"[33.58918524164109, 130.3556086589865]","(9416, 9566)","(33.5892913, 130.3558124)","(33.58921686875693, 130.35582345981496)"
Path2
1,"[33.58839093896894, 130.3560768050424]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58837217485075, 130.35594778662528)"
-111.51047540998005,"[33.58850716034284, 130.3560415805134]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58849100567462, 130.35593050416534)"
-213.87439126183818,"[33.58861124053, 130.3560210318587]","(9435, 9436)","(33.58849100567462, 130.35593050416534)","(33.58859585659299, 130.35591525490815)"
-320.03637647485743,"[33.58872554454355, 130.356006464111]","(9435, 9436)","(33.58859585659299, 130.35591525490815)","(33.58870986773185, 130.35589867341125)"
-412.91148461663647,"[33.58881333659737, 130.3559863307796]","(9435, 9436)","(33.58870986773185, 130.35589867341125)","(33.588798708755725, 130.35588575259334)"
-439.1534582856711,"[33.58888560536651, 130.3559238688372]","(9435, 9436)","(33.588798708755725, 130.35588575259334)","(33.58887837669277, 130.3558741658864)"
-443.3918533675179,"[33.58896469700484, 130.3558629491649]","(9435, 9436)","(33.58887837669277, 130.3558741658864)","(33.588964506512866, 130.35586163937927)"
-451.06620595304605,"[33.58906300834714, 130.3558628150545]","(9435, 9436)","(33.588964506512866, 130.35586163937927)","(33.5890521, 130.3558489)"
-461.8978955648064,"[33.58914683576076, 130.3558616248242]","(9435, 9566)","(33.5890521, 130.3558489)","(33.58914279091231, 130.35583439507124)"
-475.72769846899286,"[33.58921344674526, 130.3557914012394]","(9416, 9566)","(33.58914279091231, 130.35583439507124)","(33.58921813947786, 130.35582327271493)"
-593.6541934106414,"[33.58921739462166, 130.3556880188457]","(9414, 9416)","(33.58921813947786, 130.35582327271493)","(33.5892913, 130.3558124)"
-710.3476623534904,"[33.58918524164109, 130.3556086589865]","(9416, 9566)","(33.5892913, 130.3558124)","(33.58921686875693, 130.35582345981496)"
Path3
1,"[33.58839093896894, 130.3560768050424]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58837217485075, 130.35594778662528)"
-111.51047540998005,"[33.58850716034284, 130.3560415805134]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58849100567462, 130.35593050416534)"
-213.87439126183818,"[33.58861124053, 130.3560210318587]","(9435, 9436)","(33.58849100567462, 130.35593050416534)","(33.58859585659299, 130.35591525490815)"
-320.03637647485743,"[33.58872554454355, 130.356006464111]","(9435, 9436)","(33.58859585659299, 130.35591525490815)","(33.58870986773185, 130.35589867341125)"
-412.91148461663647,"[33.58881333659737, 130.3559863307796]","(9435, 9436)","(33.58870986773185, 130.35589867341125)","(33.588798708755725, 130.35588575259334)"
-439.1534582856711,"[33.58888560536651, 130.3559238688372]","(9435, 9436)","(33.588798708755725, 130.35588575259334)","(33.58887837669277, 130.3558741658864)"
-443.3918533675179,"[33.58896469700484, 130.3558629491649]","(9435, 9436)","(33.58887837669277, 130.3558741658864)","(33.588964506512866, 130.35586163937927)"
-451.07173804156406,"[33.58906300834714, 130.3558628150545]","(9428, 9435)","(33.588964506512866, 130.35586163937927)","(33.5890521, 130.3558489)"
-461.9034276533244,"[33.58914683576076, 130.3558616248242]","(9435, 9566)","(33.5890521, 130.3558489)","(33.58914279091231, 130.35583439507124)"
-475.73323055751086,"[33.58921344674526, 130.3557914012394]","(9416, 9566)","(33.58914279091231, 130.35583439507124)","(33.58921813947786, 130.35582327271493)"
-593.6597254991594,"[33.58921739462166, 130.3556880188457]","(9414, 9416)","(33.58921813947786, 130.35582327271493)","(33.5892913, 130.3558124)"
-710.3531944420084,"[33.58918524164109, 130.3556086589865]","(9416, 9566)","(33.5892913, 130.3558124)","(33.58921686875693, 130.35582345981496)"
Path4
1,"[33.58839093896894, 130.3560768050424]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58837217485075, 130.35594778662528)"
-111.51047540998005,"[33.58850716034284, 130.3560415805134]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58849100567462, 130.35593050416534)"
-213.87439126183818,"[33.58861124053, 130.3560210318587]","(9435, 9436)","(33.58849100567462, 130.35593050416534)","(33.58859585659299, 130.35591525490815)"
-320.03637647485743,"[33.58872554454355, 130.356006464111]","(9435, 9436)","(33.58859585659299, 130.35591525490815)","(33.58870986773185, 130.35589867341125)"
-412.91148461663647,"[33.58881333659737, 130.3559863307796]","(9435, 9436)","(33.58870986773185, 130.35589867341125)","(33.588798708755725, 130.35588575259334)"
-439.1534582856711,"[33.58888560536651, 130.3559238688372]","(9435, 9436)","(33.588798708755725, 130.35588575259334)","(33.58887837669277, 130.3558741658864)"
-443.3918533675179,"[33.58896469700484, 130.3558629491649]","(9435, 9436)","(33.58887837669277, 130.3558741658864)","(33.588964506512866, 130.35586163937927)"
-449.10903623958956,"[33.58906300834714, 130.3558628150545]","(9435, 9566)","(33.588964506512866, 130.35586163937927)","(33.58906039346972, 130.35584748533566)"
-459.17403076644547,"[33.58914683576076, 130.3558616248242]","(9435, 9566)","(33.58906039346972, 130.35584748533566)","(33.58914279091231, 130.35583439507124)"
-473.00383367063193,"[33.58921344674526, 130.3557914012394]","(9416, 9566)","(33.58914279091231, 130.35583439507124)","(33.58921813947786, 130.35582327271493)"
-593.0947676840045,"[33.58921739462166, 130.3556880188457]","(9435, 9566)","(33.58921813947786, 130.35582327271493)","(33.5891643, 130.3558312)"
-711.916086656454,"[33.58918524164109, 130.3556086589865]","(9416, 9566)","(33.5891643, 130.3558312)","(33.58921686875693, 130.35582345981496)"
Path5
1,"[33.58839093896894, 130.3560768050424]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58837217485075, 130.35594778662528)"
-111.51047540998005,"[33.58850716034284, 130.3560415805134]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58849100567462, 130.35593050416534)"
-213.87439126183818,"[33.58861124053, 130.3560210318587]","(9435, 9436)","(33.58849100567462, 130.35593050416534)","(33.58859585659299, 130.35591525490815)"
-320.03637647485743,"[33.58872554454355, 130.356006464111]","(9435, 9436)","(33.58859585659299, 130.35591525490815)","(33.58870986773185, 130.35589867341125)"
-412.91148461663647,"[33.58881333659737, 130.3559863307796]","(9435, 9436)","(33.58870986773185, 130.35589867341125)","(33.588798708755725, 130.35588575259334)"
-439.1534582856711,"[33.58888560536651, 130.3559238688372]","(9435, 9436)","(33.588798708755725, 130.35588575259334)","(33.58887837669277, 130.3558741658864)"
-443.3918533675179,"[33.58896469700484, 130.3558629491649]","(9435, 9436)","(33.58887837669277, 130.3558741658864)","(33.588964506512866, 130.35586163937927)"
-449.10903623958956,"[33.58906300834714, 130.3558628150545]","(9435, 9566)","(33.588964506512866, 130.35586163937927)","(33.58906039346972, 130.35584748533566)"
-459.17403076644547,"[33.58914683576076, 130.3558616248242]","(9435, 9566)","(33.58906039346972, 130.35584748533566)","(33.58914279091231, 130.35583439507124)"
-473.00383367063193,"[33.58921344674526, 130.3557914012394]","(9416, 9566)","(33.58914279091231, 130.35583439507124)","(33.58921813947786, 130.35582327271493)"
-596.9973476771393,"[33.58921739462166, 130.3556880188457]","(9416, 9566)","(33.58921813947786, 130.35582327271493)","(33.5892371118006, 130.3558204668517)"
-713.5520045170911,"[33.58918524164109, 130.3556086589865]","(9435, 9566)","(33.5892371118006, 130.3558204668517)","(33.5891643, 130.3558312)"
Path6
1,"[33.58839093896894, 130.3560768050424]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58837217485075, 130.35594778662528)"
-111.51047540998005,"[33.58850716034284, 130.3560415805134]","(9435, 9436)","(33.58837217485075, 130.35594778662528)","(33.58849100567462, 130.35593050416534)"
-213.87439126183818,"[33.58861124053, 130.3560210318587]","(9435, 9436)","(33.58849100567462, 130.35593050416534)","(33.58859585659299, 130.35591525490815)"
-320.03637647485743,"[33.58872554454355, 130.356006464111]","(9435, 9436)","(33.58859585659299, 130.35591525490815)","(33.58870986773185, 130.35589867341125)"
-412.91148461663647,"[33.58881333659737, 130.3559863307796]","(9435, 9436)","(33.58870986773185, 130.35589867341125)","(33.588798708755725, 130.35588575259334)"
