prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59276739883571, 130.3457801231466]","(6590, 6627)","(33.59278297417648, 130.34570889380726)","(33.59278297417648, 130.34570889380726)"
-35.402982034174904,"[33.59289166055023, 130.3457953782103]","(6590, 6627)","(33.59278297417648, 130.34570889380726)","(33.59290474906076, 130.3457355216735)"
-87.39653612238686,"[33.59295464007518, 130.3458226822599]","(6590, 6627)","(33.59290474906076, 130.3457355216735)","(33.59297055266738, 130.34574991059816)"
-204.6335445292322,"[33.5930222715564, 130.3458846664339]","(6590, 6627)","(33.59297055266738, 130.34574991059816)","(33.5930480332241, 130.34576685285938)"
-220.0453732224149,"[33.59316986639387, 130.345826831302]","(6590, 6627)","(33.5930480332241, 130.34576685285938)","(33.59317682354904, 130.3457950147547)"
-235.8338566648377,"[33.5932468541745, 130.3458487709335]","(6590, 6627)","(33.59317682354904, 130.3457950147547)","(33.59325487669989, 130.34581208222204)"
-292.68711442094286,"[33.59330244714729, 130.3459019750639]","(6590, 6627)","(33.59325487669989, 130.34581208222204)","(33.59331903581727, 130.34582611155497)"
-352.1920144932704,"[33.59338845595121, 130.3459232231885]","(6590, 6627)","(33.59331903581727, 130.34582611155497)","(33.59340555403262, 130.34584503003296)"
-400.5144289808194,"[33.59347581633701, 130.3459336377032]","(6590, 6627)","(33.59340555403262, 130.34584503003296)","(33.593491101325924, 130.34586373620456)"
-436.91257423818615,"[33.59357978336848, 130.345945854327]","(6590, 6627)","(33.593491101325924, 130.34586373620456)","(33.59359287354018, 130.34588599019332)"
-460.0461743024641,"[33.59371265958398, 130.345960568758]","(6590, 6627)","(33.59359287354018, 130.34588599019332)","(33.59372275700263, 130.3459143911192)"
-495.58233471176254,"[33.59379686418324, 130.3459925876282]","(6590, 6627)","(33.59372275700263, 130.3459143911192)","(33.5938098010526, 130.34593342457865)"
-537.8449577501916,"[33.59387701194137, 130.3460162916503]","(6590, 6627)","(33.5938098010526, 130.34593342457865)","(33.5938912381882, 130.34595123200393)"
-543.623957686555,"[33.59399528897702, 130.3460062668941]","(6627, 6641)","(33.5938912381882, 130.34595123200393)","(33.59398334678649, 130.346005576302)"
