prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59312162854112, 130.3574159439936]","(9561, 9600)","(33.59301654004508, 130.35740930314628)","(33.59301654004508, 130.35740930314628)"
-34.57667592128173,"[33.59304476648904, 130.3575163591936]","(9561, 9600)","(33.59301654004508, 130.35740930314628)","(33.593003802730614, 130.35748923087675)"
-58.890503266781266,"[33.59295842240899, 130.3575965111426]","(9561, 9600)","(33.593003802730614, 130.35748923087675)","(33.59293579422734, 130.35755857498452)"
-77.054714592478,"[33.59285512592978, 130.3576522507987]","(9561, 9600)","(33.59293579422734, 130.35755857498452)","(33.59283508232219, 130.3576186476804)"
-83.33355246905907,"[33.59272519595324, 130.3577023117154]","(9561, 9600)","(33.59283508232219, 130.3576186476804)","(33.59271722450565, 130.35768894757945)"
-91.20861567600971,"[33.59261735229156, 130.3577744170375]","(9561, 9600)","(33.59271722450565, 130.35768894757945)","(33.592606022681046, 130.35775657290094)"
-128.60893119337186,"[33.59254886166527, 130.3578620707899]","(9561, 9600)","(33.592606022681046, 130.35775657290094)","(33.592517889146926, 130.35781140420747)"
-154.67244142095245,"[33.59243675371035, 130.3579176218531]","(9561, 9600)","(33.592517889146926, 130.35781140420747)","(33.592411557651594, 130.3578764047272)"
-179.27752672087965,"[33.59234031991436, 130.3579749540708]","(9561, 9600)","(33.592411557651594, 130.3578764047272)","(33.59231584380147, 130.35793491467274)"
-193.8244060596279,"[33.59219924200661, 130.3580463678859]","(9417, 9561)","(33.59231584380147, 130.35793491467274)","(33.59218247751766, 130.3580171564446)"
-202.53471758832237,"[33.59207420496605, 130.3581019399039]","(9417, 9588)","(33.59218247751766, 130.3580171564446)","(33.59206449793425, 130.3580811547906)"
-209.0787589263876,"[33.59198046504257, 130.3581324270998]","(9417, 9588)","(33.59206449793425, 130.3580811547906)","(33.59197494718054, 130.3581156815881)"
-213.9737048279386,"[33.59187325931489, 130.3581520008206]","(9417, 9588)","(33.59197494718054, 130.3581156815881)","(33.591870715194766, 130.35814042150753)"
-238.6077103182875,"[33.59177748559377, 130.3581961524955]","(9417, 9588)","(33.591870715194766, 130.35814042150753)","(33.5917747715878, 130.35814738793678)"
-244.17191963170146,"[33.59164341705254, 130.3581500939376]","(9417, 9588)","(33.5917747715878, 130.35814738793678)","(33.591645208101134, 130.35813916854116)"
-247.61942830364765,"[33.59153609725981, 130.358116650144]","(9417, 9588)","(33.591645208101134, 130.35813916854116)","(33.591536225717114, 130.3581160702334)"
-254.4089748608447,"[33.59145204772576, 130.3580603866189]","(9417, 9588)","(33.591536225717114, 130.3581160702334)","(33.5914446472042, 130.35807782945577)"
-262.485091877457,"[33.59135622161775, 130.3580037459082]","(9417, 9588)","(33.5914446472042, 130.35807782945577)","(33.59134399381086, 130.3580200357634)"
-274.0710301864045,"[33.59126533035523, 130.3579923046104]","(9417, 9588)","(33.59134399381086, 130.3580200357634)","(33.5912808, 130.3579726)"
-277.5600130529217,"[33.59119818083345, 130.3578935448363]","(9417, 9588)","(33.5912808, 130.3579726)","(33.59119838433349, 130.35789335903192)"
-306.8359562725573,"[33.59115950882769, 130.3577722796522]","(9417, 9588)","(33.59119838433349, 130.35789335903192)","(33.59112152425955, 130.3578027507893)"
-347.368822686354,"[33.59110811728387, 130.357651538337]","(9588, 9590)","(33.59112152425955, 130.3578027507893)","(33.59107722428301, 130.35761065054172)"
-405.37365915449413,"[33.59105279672294, 130.3575285129532]","(9415, 9588)","(33.59107722428301, 130.35761065054172)","(33.590991185771195, 130.3575510287611)"
-446.50780106081777,"[33.59100329110733, 130.3574206378593]","(9415, 9588)","(33.590991185771195, 130.3575510287611)","(33.590950574752874, 130.35743990312426)"
-473.87262550214746,"[33.59095311493947, 130.3573168698981]","(9415, 9588)","(33.590950574752874, 130.35743990312426)","(33.59091120884598, 130.35733218453817)"
-515.3208350006199,"[33.59091128924265, 130.3571680492073]","(9415, 9588)","(33.59091120884598, 130.35733218453817)","(33.5908583020508, 130.35718741345016)"
-538.3470833707569,"[33.5908510967005, 130.3570505349248]","(9415, 9588)","(33.5908583020508, 130.35718741345016)","(33.590813324287545, 130.3570643389056)"
-581.6952557762859,"[33.59081589270718, 130.3569029505647]","(9415, 9588)","(33.590813324287545, 130.3570643389056)","(33.590761596243134, 130.35692279328288)"
-590.7269508080456,"[33.59074599811211, 130.3567643977053]","(9415, 9591)","(33.590761596243134, 130.35692279328288)","(33.59072844912993, 130.35675889765986)"
-598.9010567158493,"[33.59070372188798, 130.3567426676213]","(9415, 10550)","(33.59072844912993, 130.35675889765986)","(33.590697161114385, 130.35674525496862)"
-608.8877752750723,"[33.59065376574508, 130.3565866804033]","(9414, 10550)","(33.590697161114385, 130.35674525496862)","(33.590643, 130.3566077)"
Path2
1,"[33.59312162854112, 130.3574159439936]","(9561, 9600)","(33.59301654004508, 130.35740930314628)","(33.59301654004508, 130.35740930314628)"
-34.57667592128173,"[33.59304476648904, 130.3575163591936]","(9561, 9600)","(33.59301654004508, 130.35740930314628)","(33.593003802730614, 130.35748923087675)"
-58.890503266781266,"[33.59295842240899, 130.3575965111426]","(9561, 9600)","(33.593003802730614, 130.35748923087675)","(33.59293579422734, 130.35755857498452)"
-77.054714592478,"[33.59285512592978, 130.3576522507987]","(9561, 9600)","(33.59293579422734, 130.35755857498452)","(33.59283508232219, 130.3576186476804)"
-83.33355246905907,"[33.59272519595324, 130.3577023117154]","(9561, 9600)","(33.59283508232219, 130.3576186476804)","(33.59271722450565, 130.35768894757945)"
-91.20861567600971,"[33.59261735229156, 130.3577744170375]","(9561, 9600)","(33.59271722450565, 130.35768894757945)","(33.592606022681046, 130.35775657290094)"
-128.60893119337186,"[33.59254886166527, 130.3578620707899]","(9561, 9600)","(33.592606022681046, 130.35775657290094)","(33.592517889146926, 130.35781140420747)"
-154.67244142095245,"[33.59243675371035, 130.3579176218531]","(9561, 9600)","(33.592517889146926, 130.35781140420747)","(33.592411557651594, 130.3578764047272)"
-179.27752672087965,"[33.59234031991436, 130.3579749540708]","(9561, 9600)","(33.592411557651594, 130.3578764047272)","(33.59231584380147, 130.35793491467274)"
-193.8244060596279,"[33.59219924200661, 130.3580463678859]","(9417, 9561)","(33.59231584380147, 130.35793491467274)","(33.59218247751766, 130.3580171564446)"
-202.53471758832237,"[33.59207420496605, 130.3581019399039]","(9417, 9588)","(33.59218247751766, 130.3580171564446)","(33.59206449793425, 130.3580811547906)"
-209.0787589263876,"[33.59198046504257, 130.3581324270998]","(9417, 9588)","(33.59206449793425, 130.3580811547906)","(33.59197494718054, 130.3581156815881)"
-213.9737048279386,"[33.59187325931489, 130.3581520008206]","(9417, 9588)","(33.59197494718054, 130.3581156815881)","(33.591870715194766, 130.35814042150753)"
-238.6077103182875,"[33.59177748559377, 130.3581961524955]","(9417, 9588)","(33.591870715194766, 130.35814042150753)","(33.5917747715878, 130.35814738793678)"
-244.17191963170146,"[33.59164341705254, 130.3581500939376]","(9417, 9588)","(33.5917747715878, 130.35814738793678)","(33.591645208101134, 130.35813916854116)"
-247.61942830364765,"[33.59153609725981, 130.358116650144]","(9417, 9588)","(33.591645208101134, 130.35813916854116)","(33.591536225717114, 130.3581160702334)"
-254.4089748608447,"[33.59145204772576, 130.3580603866189]","(9417, 9588)","(33.591536225717114, 130.3581160702334)","(33.5914446472042, 130.35807782945577)"
-262.485091877457,"[33.59135622161775, 130.3580037459082]","(9417, 9588)","(33.5914446472042, 130.35807782945577)","(33.59134399381086, 130.3580200357634)"
-274.0710301864045,"[33.59126533035523, 130.3579923046104]","(9417, 9588)","(33.59134399381086, 130.3580200357634)","(33.5912808, 130.3579726)"
-277.5600130529217,"[33.59119818083345, 130.3578935448363]","(9417, 9588)","(33.5912808, 130.3579726)","(33.59119838433349, 130.35789335903192)"
-306.8359562725573,"[33.59115950882769, 130.3577722796522]","(9417, 9588)","(33.59119838433349, 130.35789335903192)","(33.59112152425955, 130.3578027507893)"
-360.4174326119091,"[33.59110811728387, 130.357651538337]","(9417, 9588)","(33.59112152425955, 130.3578027507893)","(33.59105115988, 130.3576841418813)"
-416.2633084960903,"[33.59105279672294, 130.3575285129532]","(9415, 9588)","(33.59105115988, 130.3576841418813)","(33.590991185771195, 130.3575510287611)"
-457.39745040241394,"[33.59100329110733, 130.3574206378593]","(9415, 9588)","(33.590991185771195, 130.3575510287611)","(33.590950574752874, 130.35743990312426)"
-484.7622748437436,"[33.59095311493947, 130.3573168698981]","(9415, 9588)","(33.590950574752874, 130.35743990312426)","(33.59091120884598, 130.35733218453817)"
-526.2104843422161,"[33.59091128924265, 130.3571680492073]","(9415, 9588)","(33.59091120884598, 130.35733218453817)","(33.5908583020508, 130.35718741345016)"
-549.236732712353,"[33.5908510967005, 130.3570505349248]","(9415, 9588)","(33.5908583020508, 130.35718741345016)","(33.590813324287545, 130.3570643389056)"
-592.584905117882,"[33.59081589270718, 130.3569029505647]","(9415, 9588)","(33.590813324287545, 130.3570643389056)","(33.590761596243134, 130.35692279328288)"
-601.6166001496417,"[33.59074599811211, 130.3567643977053]","(9415, 9591)","(33.590761596243134, 130.35692279328288)","(33.59072844912993, 130.35675889765986)"
-609.7907060574455,"[33.59070372188798, 130.3567426676213]","(9415, 10550)","(33.59072844912993, 130.35675889765986)","(33.590697161114385, 130.35674525496862)"
-619.7774246166684,"[33.59065376574508, 130.3565866804033]","(9414, 10550)","(33.590697161114385, 130.35674525496862)","(33.590643, 130.3566077)"
Path3
1,"[33.59312162854112, 130.3574159439936]","(9561, 9600)","(33.59301654004508, 130.35740930314628)","(33.59301654004508, 130.35740930314628)"
-34.57667592128173,"[33.59304476648904, 130.3575163591936]","(9561, 9600)","(33.59301654004508, 130.35740930314628)","(33.593003802730614, 130.35748923087675)"
-58.890503266781266,"[33.59295842240899, 130.3575965111426]","(9561, 9600)","(33.593003802730614, 130.35748923087675)","(33.59293579422734, 130.35755857498452)"
-77.054714592478,"[33.59285512592978, 130.3576522507987]","(9561, 9600)","(33.59293579422734, 130.35755857498452)","(33.59283508232219, 130.3576186476804)"
-83.33355246905907,"[33.59272519595324, 130.3577023117154]","(9561, 9600)","(33.59283508232219, 130.3576186476804)","(33.59271722450565, 130.35768894757945)"
-91.20861567600971,"[33.59261735229156, 130.3577744170375]","(9561, 9600)","(33.59271722450565, 130.35768894757945)","(33.592606022681046, 130.35775657290094)"
-128.60893119337186,"[33.59254886166527, 130.3578620707899]","(9561, 9600)","(33.592606022681046, 130.35775657290094)","(33.592517889146926, 130.35781140420747)"
-154.67244142095245,"[33.59243675371035, 130.3579176218531]","(9561, 9600)","(33.592517889146926, 130.35781140420747)","(33.592411557651594, 130.3578764047272)"
-179.27752672087965,"[33.59234031991436, 130.3579749540708]","(9561, 9600)","(33.592411557651594, 130.3578764047272)","(33.59231584380147, 130.35793491467274)"
-193.8244060596279,"[33.59219924200661, 130.3580463678859]","(9417, 9561)","(33.59231584380147, 130.35793491467274)","(33.59218247751766, 130.3580171564446)"
-202.53471758832237,"[33.59207420496605, 130.3581019399039]","(9417, 9588)","(33.59218247751766, 130.3580171564446)","(33.59206449793425, 130.3580811547906)"
-209.0787589263876,"[33.59198046504257, 130.3581324270998]","(9417, 9588)","(33.59206449793425, 130.3580811547906)","(33.59197494718054, 130.3581156815881)"
-213.9737048279386,"[33.59187325931489, 130.3581520008206]","(9417, 9588)","(33.59197494718054, 130.3581156815881)","(33.591870715194766, 130.35814042150753)"
-238.6077103182875,"[33.59177748559377, 130.3581961524955]","(9417, 9588)","(33.591870715194766, 130.35814042150753)","(33.5917747715878, 130.35814738793678)"
-244.17191963170146,"[33.59164341705254, 130.3581500939376]","(9417, 9588)","(33.5917747715878, 130.35814738793678)","(33.591645208101134, 130.35813916854116)"
