prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59287345505653, 130.3516435493998]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-13.62251313924586,"[33.59273953738956, 130.3516218737982]","(6584, 6591)","(33.5928128, 130.3515609)","(33.59272902144729, 130.35159834682673)"
-23.517077951392725,"[33.59259479288275, 130.3516737758321]","(6580, 6584)","(33.59272902144729, 130.35159834682673)","(33.59259065203307, 130.35164821058618)"
-110.70923324754577,"[33.59236717972307, 130.3517833427809]","(6564, 6580)","(33.59259065203307, 130.35164821058618)","(33.59235164432777, 130.35168658724876)"
-138.22500796936714,"[33.59225998356341, 130.3518240285389]","(6564, 6565)","(33.59235164432777, 130.35168658724876)","(33.5922809, 130.3517833)"
-144.13025504702188,"[33.59215349986552, 130.3518004921548]","(6554, 6565)","(33.5922809, 130.3517833)","(33.5921545979008, 130.35180648911674)"
-155.45473427595078,"[33.59205931241959, 130.3517513071469]","(6553, 6554)","(33.5921545979008, 130.35180648911674)","(33.59207748991742, 130.35175067619244)"
-217.7669375683141,"[33.59199006113558, 130.3518260569594]","(6545, 6553)","(33.59207748991742, 130.35175067619244)","(33.59197748767476, 130.35174649460353)"
-315.42028243430866,"[33.5918291453585, 130.3518458047233]","(6545, 6546)","(33.59197748767476, 130.35174649460353)","(33.5919147643198, 130.35183539099452)"
-433.7499263597874,"[33.59172353337853, 130.3518864569537]","(6546, 6547)","(33.5919147643198, 130.35183539099452)","(33.5919284, 130.3519475)"
Path2
1,"[33.59287345505653, 130.3516435493998]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-13.62251313924586,"[33.59273953738956, 130.3516218737982]","(6584, 6591)","(33.5928128, 130.3515609)","(33.59272902144729, 130.35159834682673)"
-23.517077951392725,"[33.59259479288275, 130.3516737758321]","(6580, 6584)","(33.59272902144729, 130.35159834682673)","(33.59259065203307, 130.35164821058618)"
-110.70923324754577,"[33.59236717972307, 130.3517833427809]","(6564, 6580)","(33.59259065203307, 130.35164821058618)","(33.59235164432777, 130.35168658724876)"
-138.22500796936714,"[33.59225998356341, 130.3518240285389]","(6564, 6565)","(33.59235164432777, 130.35168658724876)","(33.5922809, 130.3517833)"
-144.13025504702188,"[33.59215349986552, 130.3518004921548]","(6554, 6565)","(33.5922809, 130.3517833)","(33.5921545979008, 130.35180648911674)"
-155.45473427595078,"[33.59205931241959, 130.3517513071469]","(6553, 6554)","(33.5921545979008, 130.35180648911674)","(33.59207748991742, 130.35175067619244)"
