prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59102324213236, 130.3456204311273]","(2210, 6611)","(33.59099092635442, 130.34578183213193)","(33.59099092635442, 130.34578183213193)"
-116.15785558530159,"[33.59109050690531, 130.3456773442499]","(2210, 6611)","(33.59099092635442, 130.34578183213193)","(33.5910665544994, 130.34579697443135)"
-137.71652029719215,"[33.59113561830818, 130.3457682376079]","(2210, 6611)","(33.5910665544994, 130.34579697443135)","(33.59112742444157, 130.3458091618371)"
-152.51914267825364,"[33.59120414036661, 130.3458581251375]","(2210, 6611)","(33.59112742444157, 130.3458091618371)","(33.59121060909487, 130.34582581710387)"
-165.41376569179275,"[33.59129201623946, 130.3458124940566]","(2210, 6611)","(33.59121060909487, 130.34582581710387)","(33.591286313825435, 130.34584097473729)"
-174.5536352164189,"[33.59136173691004, 130.3458799516133]","(2210, 6611)","(33.591286313825435, 130.34584097473729)","(33.59136633304862, 130.34585699622025)"
-180.9304875073592,"[33.59146816193461, 130.3458614443711]","(2210, 6611)","(33.59136633304862, 130.34585699622025)","(33.59146509341795, 130.34587677006348)"
-195.85882864096516,"[33.59155132717787, 130.3458558117322]","(2210, 6611)","(33.59146509341795, 130.34587677006348)","(33.5915454726719, 130.34589139129022)"
-236.42173403067892,"[33.59159634637981, 130.3458342367134]","(2210, 6611)","(33.5915454726719, 130.34589139129022)","(33.591585848566496, 130.3458980350185)"
-355.54536504503426,"[33.59167842197567, 130.3457773738823]","(2210, 6611)","(33.591585848566496, 130.3458980350185)","(33.59165665054784, 130.345909685265)"
-474.65056517452575,"[33.59164894282221, 130.3457106874607]","(2210, 6611)","(33.59165665054784, 130.345909685265)","(33.591617264747846, 130.34590320445375)"
