prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.5920752128899, 130.3528682292722]","(6551, 6556)","(33.5920475, 130.352921)","(33.5920475, 130.352921)"
-8.450661647308799,"[33.59206267356275, 130.352965279138]","(6551, 6556)","(33.5920475, 130.352921)","(33.592052931767554, 130.35296644355327)"
-59.314064460198836,"[33.59200067262499, 130.3530307543747]","(6551, 6556)","(33.592052931767554, 130.35296644355327)","(33.59205977431844, 130.35302369007982)"
-85.50624300811428,"[33.59203327822833, 130.3531626687668]","(6551, 6556)","(33.59205977431844, 130.35302369007982)","(33.59207577893097, 130.35315758875169)"
-148.3351040052579,"[33.59201475422232, 130.3532295731179]","(6551, 6556)","(33.59207577893097, 130.35315758875169)","(33.59208340229561, 130.3532213677653)"
-250.89839219550817,"[33.59200160301624, 130.353291800367]","(6551, 6556)","(33.59208340229561, 130.3532213677653)","(33.59209055017046, 130.3532811687101)"
-374.31365316589296,"[33.59191539514212, 130.3533548993341]","(6551, 6556)","(33.59209055017046, 130.3532811687101)","(33.5920961, 130.3533276)"
-492.9012584739544,"[33.59195798359214, 130.3535000236056]","(6556, 6559)","(33.5920961, 130.3533276)","(33.5921479, 130.3534293)"
Path2
1,"[33.5920752128899, 130.3528682292722]","(6551, 6556)","(33.5920475, 130.352921)","(33.5920475, 130.352921)"
-8.450661647308799,"[33.59206267356275, 130.352965279138]","(6551, 6556)","(33.5920475, 130.352921)","(33.592052931767554, 130.35296644355327)"
-59.314064460198836,"[33.59200067262499, 130.3530307543747]","(6551, 6556)","(33.592052931767554, 130.35296644355327)","(33.59205977431844, 130.35302369007982)"
-85.50624300811428,"[33.59203327822833, 130.3531626687668]","(6551, 6556)","(33.59205977431844, 130.35302369007982)","(33.59207577893097, 130.35315758875169)"
-148.3351040052579,"[33.59201475422232, 130.3532295731179]","(6551, 6556)","(33.59207577893097, 130.35315758875169)","(33.59208340229561, 130.3532213677653)"
-250.89839219550817,"[33.59200160301624, 130.353291800367]","(6551, 6556)","(33.59208340229561, 130.3532213677653)","(33.59209055017046, 130.3532811687101)"
-374.31365316589296,"[33.59191539514212, 130.3533548993341]","(6551, 6556)","(33.59209055017046, 130.3532811687101)","(33.5920961, 130.3533276)"
-494.80615007052495,"[33.59195798359214, 130.3535000236056]","(6556, 6558)","(33.5920961, 130.3533276)","(33.5921556, 130.353411)"
Path3
1,"[33.5920752128899, 130.3528682292722]","(6551, 6556)","(33.5920475, 130.352921)","(33.5920475, 130.352921)"
-8.450661647308799,"[33.59206267356275, 130.352965279138]","(6551, 6556)","(33.5920475, 130.352921)","(33.592052931767554, 130.35296644355327)"
-59.314064460198836,"[33.59200067262499, 130.3530307543747]","(6551, 6556)","(33.592052931767554, 130.35296644355327)","(33.59205977431844, 130.35302369007982)"
-85.50624300811428,"[33.59203327822833, 130.3531626687668]","(6551, 6556)","(33.59205977431844, 130.35302369007982)","(33.59207577893097, 130.35315758875169)"
-148.3351040052579,"[33.59201475422232, 130.3532295731179]","(6551, 6556)","(33.59207577893097, 130.35315758875169)","(33.59208340229561, 130.3532213677653)"
-250.89839219550817,"[33.59200160301624, 130.353291800367]","(6551, 6556)","(33.59208340229561, 130.3532213677653)","(33.59209055017046, 130.3532811687101)"
-374.31365316589296,"[33.59191539514212, 130.3533548993341]","(6551, 6556)","(33.59209055017046, 130.3532811687101)","(33.5920961, 130.3533276)"
-494.80615007052495,"[33.59195798359214, 130.3535000236056]","(6556, 6567)","(33.5920961, 130.3533276)","(33.5921556, 130.353411)"
Path4
1,"[33.5920752128899, 130.3528682292722]","(6551, 6556)","(33.5920475, 130.352921)","(33.5920475, 130.352921)"
-8.450661647308799,"[33.59206267356275, 130.352965279138]","(6551, 6556)","(33.5920475, 130.352921)","(33.592052931767554, 130.35296644355327)"
-59.314064460198836,"[33.59200067262499, 130.3530307543747]","(6551, 6556)","(33.592052931767554, 130.35296644355327)","(33.59205977431844, 130.35302369007982)"
-85.50624300811428,"[33.59203327822833, 130.3531626687668]","(6551, 6556)","(33.59205977431844, 130.35302369007982)","(33.59207577893097, 130.35315758875169)"
-148.3351040052579,"[33.59201475422232, 130.3532295731179]","(6551, 6556)","(33.59207577893097, 130.35315758875169)","(33.59208340229561, 130.3532213677653)"
-250.89839219550817,"[33.59200160301624, 130.353291800367]","(6551, 6556)","(33.59208340229561, 130.3532213677653)","(33.59209055017046, 130.3532811687101)"
-370.8584654837159,"[33.59191539514212, 130.3533548993341]","(6556, 6558)","(33.59209055017046, 130.3532811687101)","(33.5921556, 130.353411)"
-496.86149958653215,"[33.59195798359214, 130.3535000236056]","(6551, 6556)","(33.5921556, 130.353411)","(33.5921231, 130.3533773)"
Path5
1,"[33.5920752128899, 130.3528682292722]","(6551, 6556)","(33.5920475, 130.352921)","(33.5920475, 130.352921)"
-8.450661647308799,"[33.59206267356275, 130.352965279138]","(6551, 6556)","(33.5920475, 130.352921)","(33.592052931767554, 130.35296644355327)"
-59.314064460198836,"[33.59200067262499, 130.3530307543747]","(6551, 6556)","(33.592052931767554, 130.35296644355327)","(33.59205977431844, 130.35302369007982)"
-85.50624300811428,"[33.59203327822833, 130.3531626687668]","(6551, 6556)","(33.59205977431844, 130.35302369007982)","(33.59207577893097, 130.35315758875169)"
-148.3351040052579,"[33.59201475422232, 130.3532295731179]","(6551, 6556)","(33.59207577893097, 130.35315758875169)","(33.59208340229561, 130.3532213677653)"
-250.89839219550817,"[33.59200160301624, 130.353291800367]","(6551, 6556)","(33.59208340229561, 130.3532213677653)","(33.59209055017046, 130.3532811687101)"
