prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59178017828017, 130.3454932525105]","(6590, 10552)","(33.59178237620507, 130.3454834971471)","(33.59178237620507, 130.3454834971471)"
-2.521221142287147,"[33.59190499529577, 130.3455116717427]","(6590, 10552)","(33.59178237620507, 130.3454834971471)","(33.59190511279627, 130.3455111502235)"
-7.138658273155799,"[33.59203323631882, 130.3455517665766]","(6590, 10552)","(33.59190511279627, 130.3455111502235)","(33.59203575566186, 130.34554058461723)"
-17.703739785160906,"[33.59214374333023, 130.3455941287152]","(6590, 10552)","(33.59203575566186, 130.34554058461723)","(33.59215000739598, 130.34556632601922)"
-28.02320285532566,"[33.59225878495126, 130.3456195887461]","(6590, 10552)","(33.59215000739598, 130.34556632601922)","(33.59226495052624, 130.34559222319572)"
-35.68000250083086,"[33.59238239706828, 130.345641067373]","(6590, 10552)","(33.59226495052624, 130.34559222319572)","(33.59238719642218, 130.34561976571644)"
-40.78893939796995,"[33.59249841308556, 130.3456586903244]","(6590, 10552)","(33.59238719642218, 130.34561976571644)","(33.592501386450294, 130.3456454932158)"
-53.25769077672635,"[33.59267300812862, 130.3457169864609]","(6590, 10552)","(33.592501386450294, 130.3456454932158)","(33.59268004670764, 130.34568574613226)"
-61.21125502282958,"[33.59280668900683, 130.345737061119]","(6590, 6627)","(33.59268004670764, 130.34568574613226)","(33.59281148498056, 130.34571512811314)"
-68.4719149700568,"[33.59294795550741, 130.3457663768254]","(6590, 6627)","(33.59281148498056, 130.34571512811314)","(33.59295242294852, 130.34574594626898)"
-73.47327878397928,"[33.59307195528745, 130.3457855085194]","(6590, 6627)","(33.59295242294852, 130.34574594626898)","(33.5930747568514, 130.34577269637282)"
-84.56631932719515,"[33.59318609585389, 130.3458272923067]","(6590, 6627)","(33.5930747568514, 130.34577269637282)","(33.59319240862585, 130.34579842266055)"
-89.30810959498058,"[33.59330475426614, 130.3458343372963]","(6590, 6627)","(33.59319240862585, 130.34579842266055)","(33.59330712256823, 130.3458235065482)"
-112.6005028481814,"[33.5934188927371, 130.3458965268269]","(6590, 6627)","(33.59330712256823, 130.3458235065482)","(33.59342903074586, 130.34585016356095)"
-129.26722543771723,"[33.59354549090713, 130.3459153232447]","(6590, 6627)","(33.59342903074586, 130.34585016356095)","(33.593553774500435, 130.34587744061426)"
-144.58200821283918,"[33.59364981416947, 130.3459361522741]","(6590, 6627)","(33.593553774500435, 130.34587744061426)","(33.593657683982634, 130.34590016194807)"
-156.61029686279116,"[33.5937616706673, 130.3459549067825]","(6590, 6627)","(33.593657683982634, 130.34590016194807)","(33.59376835001646, 130.34592436070105)"
-167.17488669318124,"[33.59387568760067, 130.3459770308159]","(6590, 6627)","(33.59376835001646, 130.34592436070105)","(33.5938817810744, 130.34594916406715)"
-183.95383326388233,"[33.59400545832104, 130.3460173100516]","(6627, 6648)","(33.5938817810744, 130.34594916406715)","(33.59401573843985, 130.34598024138123)"
-189.30347066740046,"[33.59410670123398, 130.3460187056384]","(6627, 6648)","(33.59401573843985, 130.34598024138123)","(33.59411011025856, 130.34600641317263)"
-193.28585714469025,"[33.59422206765375, 130.3460316011965]","(6627, 6648)","(33.59411011025856, 130.34600641317263)","(33.594220558400664, 130.346037043352)"
