prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59325485889203, 130.3572090576685]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-118.26545669624996,"[33.59316289893686, 130.3572334573887]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-236.2982463702284,"[33.59311214651315, 130.3572621989346]","(4948, 8416)","(33.5933471, 130.3574444)","(33.5933129, 130.3573719)"
-354.47882546513495,"[33.59313883830281, 130.3573196367643]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
Path2
1,"[33.59325485889203, 130.3572090576685]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-118.26545669624996,"[33.59316289893686, 130.3572334573887]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-236.2982463702284,"[33.59311214651315, 130.3572621989346]","(4948, 8416)","(33.5933471, 130.3574444)","(33.5933129, 130.3573719)"
-358.92316924227737,"[33.59313883830281, 130.3573196367643]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
Path3
1,"[33.59325485889203, 130.3572090576685]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-126.0051633648919,"[33.59316289893686, 130.3572334573887]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-248.777875657869,"[33.59311214651315, 130.3572621989346]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-366.95845475277554,"[33.59313883830281, 130.3573196367643]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
Path4
1,"[33.59325485889203, 130.3572090576685]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-126.0051633648919,"[33.59316289893686, 130.3572334573887]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-248.777875657869,"[33.59311214651315, 130.3572621989346]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-371.40279852991796,"[33.59313883830281, 130.3573196367643]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
