prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59109497070312, 130.3543713142132]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104516437546, 130.35436983395522)"
-14.422311235756265,"[33.59107517640441, 130.3542347812376]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104541025034, 130.35424000967916)"
-113.95187946999184,"[33.59109979273056, 130.3540396725894]","(10466, 10474)","(33.59104541025034, 130.35424000967916)","(33.591012901785426, 130.35405493503237)"
-234.9896974969105,"[33.59110769818871, 130.3538549133859]","(6001, 10474)","(33.591012901785426, 130.35405493503237)","(33.5909729, 130.3538272)"
-252.32078857442679,"[33.59110589607953, 130.3537243233345]","(6001, 10473)","(33.5909729, 130.3538272)","(33.59110988334383, 130.35374673618415)"
-352.2128857664825,"[33.59106017279773, 130.3536513448975]","(6001, 10473)","(33.59110988334383, 130.35374673618415)","(33.591078147387506, 130.35375238203676)"
-469.83564521530366,"[33.59098850752562, 130.3535289411716]","(6001, 6002)","(33.591078147387506, 130.35375238203676)","(33.5909645, 130.3537726)"
Path2
1,"[33.59109497070312, 130.3543713142132]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104516437546, 130.35436983395522)"
-14.422311235756265,"[33.59107517640441, 130.3542347812376]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104541025034, 130.35424000967916)"
-113.95187946999184,"[33.59109979273056, 130.3540396725894]","(10466, 10474)","(33.59104541025034, 130.35424000967916)","(33.591012901785426, 130.35405493503237)"
-234.9896974969105,"[33.59110769818871, 130.3538549133859]","(6001, 10474)","(33.591012901785426, 130.35405493503237)","(33.5909729, 130.3538272)"
-252.32078857442679,"[33.59110589607953, 130.3537243233345]","(6001, 10473)","(33.5909729, 130.3538272)","(33.59110988334383, 130.35374673618415)"
-352.2128857664825,"[33.59106017279773, 130.3536513448975]","(6001, 10473)","(33.59110988334383, 130.35374673618415)","(33.591078147387506, 130.35375238203676)"
-469.83564521530366,"[33.59098850752562, 130.3535289411716]","(6001, 10474)","(33.591078147387506, 130.35375238203676)","(33.5909645, 130.3537726)"
Path3
1,"[33.59109497070312, 130.3543713142132]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104516437546, 130.35436983395522)"
-14.422311235756265,"[33.59107517640441, 130.3542347812376]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104541025034, 130.35424000967916)"
-113.95187946999184,"[33.59109979273056, 130.3540396725894]","(10466, 10474)","(33.59104541025034, 130.35424000967916)","(33.591012901785426, 130.35405493503237)"
-234.9896974969105,"[33.59110769818871, 130.3538549133859]","(6001, 10474)","(33.591012901785426, 130.35405493503237)","(33.5909729, 130.3538272)"
-252.32078857442679,"[33.59110589607953, 130.3537243233345]","(6001, 10473)","(33.5909729, 130.3538272)","(33.59110988334383, 130.35374673618415)"
-352.2128857664825,"[33.59106017279773, 130.3536513448975]","(6001, 10473)","(33.59110988334383, 130.35374673618415)","(33.591078147387506, 130.35375238203676)"
-472.22826810167453,"[33.59098850752562, 130.3535289411716]","(6001, 9565)","(33.591078147387506, 130.35375238203676)","(33.5909595, 130.3537238)"
Path4
1,"[33.59109497070312, 130.3543713142132]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104516437546, 130.35436983395522)"
-14.422311235756265,"[33.59107517640441, 130.3542347812376]","(10466, 10474)","(33.59104516437546, 130.35436983395522)","(33.59104541025034, 130.35424000967916)"
