prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59296045921145, 130.351547006639]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-91.4146071778345,"[33.59287902902214, 130.351613575714]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-110.20514013794991,"[33.59277604895978, 130.3516131733827]","(6584, 6591)","(33.5928128, 130.3515609)","(33.59276269448564, 130.35158329585735)"
-130.30435553514405,"[33.59269823975264, 130.3516586032979]","(6584, 6591)","(33.59276269448564, 130.35158329585735)","(33.59268091721818, 130.3516198481618)"
-164.64814520432506,"[33.59268391508012, 130.3518134170494]","(6584, 6585)","(33.59268091721818, 130.3516198481618)","(33.592640413548224, 130.35181534610192)"
-205.74676996758345,"[33.59269942160098, 130.351901577907]","(6584, 6585)","(33.592640413548224, 130.35181534610192)","(33.5926443457551, 130.35190402021635)"
-241.29419143450275,"[33.59269730936138, 130.351952389004]","(6584, 6585)","(33.5926443457551, 130.35190402021635)","(33.5926465, 130.3519526)"
-256.77837680542075,"[33.59266936866817, 130.3519684395866]","(6584, 6585)","(33.5926465, 130.3519526)","(33.5926465, 130.3519526)"
-266.2887886216941,"[33.59266443446968, 130.3519258352297]","(6584, 6585)","(33.5926465, 130.3519526)","(33.59264535065739, 130.3519266814913)"
-394.1238031613051,"[33.59264466573155, 130.3520718969194]","(6584, 6585)","(33.59264535065739, 130.3519266814913)","(33.5926465, 130.3519526)"
-514.7392687437317,"[33.59260814988303, 130.3520764856752]","(6584, 6585)","(33.5926465, 130.3519526)","(33.5926465, 130.3519526)"
-638.1167770170605,"[33.59254697450651, 130.3520846796956]","(6584, 6585)","(33.5926465, 130.3519526)","(33.5926465, 130.3519526)"
Path2
1,"[33.59296045921145, 130.351547006639]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-125.94628410117066,"[33.59287902902214, 130.351613575714]","(6584, 6585)","(33.5928128, 130.3515609)","(33.5926327, 130.3516414)"
-143.20334540204237,"[33.59277604895978, 130.3516131733827]","(6584, 6591)","(33.5926327, 130.3516414)","(33.59276269448564, 130.35158329585735)"
-163.30256079923652,"[33.59269823975264, 130.3516586032979]","(6584, 6591)","(33.59276269448564, 130.35158329585735)","(33.59268091721818, 130.3516198481618)"
-197.64635046841752,"[33.59268391508012, 130.3518134170494]","(6584, 6585)","(33.59268091721818, 130.3516198481618)","(33.592640413548224, 130.35181534610192)"
-238.7449752316759,"[33.59269942160098, 130.351901577907]","(6584, 6585)","(33.592640413548224, 130.35181534610192)","(33.5926443457551, 130.35190402021635)"
-274.2923966985952,"[33.59269730936138, 130.351952389004]","(6584, 6585)","(33.5926443457551, 130.35190402021635)","(33.5926465, 130.3519526)"
-289.7765820695132,"[33.59266936866817, 130.3519684395866]","(6584, 6585)","(33.5926465, 130.3519526)","(33.5926465, 130.3519526)"
-299.28699388578656,"[33.59266443446968, 130.3519258352297]","(6584, 6585)","(33.5926465, 130.3519526)","(33.59264535065739, 130.3519266814913)"
-427.12200842539755,"[33.59264466573155, 130.3520718969194]","(6584, 6585)","(33.59264535065739, 130.3519266814913)","(33.5926465, 130.3519526)"
