prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.5934085389912, 130.3609869574479]","(10481, 10482)","(33.593289413060276, 130.3610314669429)","(33.593289413060276, 130.3610314669429)"
-116.23285581339212,"[33.59347755558192, 130.3610943463914]","(10481, 10482)","(33.593289413060276, 130.3610314669429)","(33.59333307656793, 130.3611483286596)"
-232.8388190561139,"[33.59350708502679, 130.3612007295064]","(10481, 10482)","(33.59333307656793, 130.3611483286596)","(33.59337157308909, 130.36125136137025)"
-351.0090903358355,"[33.5935784485504, 130.3612707016341]","(10481, 10482)","(33.59337157308909, 130.36125136137025)","(33.593403256491314, 130.3613361593394)"
-469.3389051594659,"[33.59364705442785, 130.3613310848646]","(10481, 10482)","(33.593403256491314, 130.3613361593394)","(33.59343145823025, 130.36141163892873)"
-619.9547547395491,"[33.59368168845176, 130.361434316384]","(10481, 10482)","(33.59343145823025, 130.36141163892873)","(33.593802, 130.36159)"
-739.5174796741719,"[33.5936672548145, 130.3615367432408]","(10481, 10482)","(33.593802, 130.36159)","(33.5937547560003, 130.36163299454518)"
-761.8431647326822,"[33.5936730718553, 130.3616524973236]","(10481, 10482)","(33.5937547560003, 130.36163299454518)","(33.5937002, 130.3616801)"
-768.756175794344,"[33.59362384493797, 130.3617267777495]","(10481, 10482)","(33.5937002, 130.3616801)","(33.59363377046466, 130.3617411202625)"
-819.8880092565871,"[33.59352051283567, 130.3617938748844]","(10481, 10482)","(33.59363377046466, 130.3617411202625)","(33.593564553275144, 130.36174758121308)"
-947.6681428758628,"[33.59344383937641, 130.3618856776789]","(10481, 10482)","(33.593564553275144, 130.36174758121308)","(33.59357014956064, 130.361752905113)"
-1071.7642567899636,"[33.59347428663968, 130.3619675898276]","(10481, 10482)","(33.59357014956064, 130.361752905113)","(33.5935754, 130.3617579)"
