prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59196348002515, 130.3536429350547]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59192654870547, 130.35366762038703)"
-17.527407859864713,"[33.59192753213792, 130.3537717439517]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59195915065364, 130.35376785759743)"
-23.189090553827977,"[33.59196014821864, 130.3538784665338]","(10469, 10473)","(33.59195915065364, 130.35376785759743)","(33.59197255853381, 130.35387694113388)"
-26.899344804576312,"[33.59199528306125, 130.3540368509761]","(10469, 10473)","(33.59197255853381, 130.35387694113388)","(33.5919922593538, 130.3540372226317)"
-30.674216693635223,"[33.59201104732565, 130.3541470017567]","(10469, 10473)","(33.5919922593538, 130.3540372226317)","(33.59200583153075, 130.35414764285025)"
-39.6238121731084,"[33.59200800888575, 130.3543373128682]","(10469, 10473)","(33.59200583153075, 130.35414764285025)","(33.59202883004528, 130.3543347536588)"
-43.709598313891384,"[33.59203373085111, 130.3544225568234]","(10469, 10473)","(33.59202883004528, 130.3543347536588)","(33.592039534590626, 130.35442184346329)"
-71.33895424274681,"[33.59209876394234, 130.3545489140137]","(10469, 10473)","(33.592039534590626, 130.35442184346329)","(33.592056004929724, 130.35455442838952)"
-103.8235674040252,"[33.59212302955202, 130.354694151441]","(10469, 10476)","(33.592056004929724, 130.35455442838952)","(33.59207483492229, 130.35470037194384)"
-223.19972513550607,"[33.59221711012869, 130.3547763527654]","(10469, 10476)","(33.59207483492229, 130.35470037194384)","(33.59209087429497, 130.35480765011982)"
-345.4956508000354,"[33.5923254106041, 130.3548288486249]","(10469, 10476)","(33.59209087429497, 130.35480765011982)","(33.59210940730779, 130.35488240181593)"
Path2
1,"[33.59196348002515, 130.3536429350547]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59192654870547, 130.35366762038703)"
-17.527407859864713,"[33.59192753213792, 130.3537717439517]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59195915065364, 130.35376785759743)"
-23.189090553827977,"[33.59196014821864, 130.3538784665338]","(10469, 10473)","(33.59195915065364, 130.35376785759743)","(33.59197255853381, 130.35387694113388)"
-26.899344804576312,"[33.59199528306125, 130.3540368509761]","(10469, 10473)","(33.59197255853381, 130.35387694113388)","(33.5919922593538, 130.3540372226317)"
-30.674216693635223,"[33.59201104732565, 130.3541470017567]","(10469, 10473)","(33.5919922593538, 130.3540372226317)","(33.59200583153075, 130.35414764285025)"
-39.6238121731084,"[33.59200800888575, 130.3543373128682]","(10469, 10473)","(33.59200583153075, 130.35414764285025)","(33.59202883004528, 130.3543347536588)"
-43.709598313891384,"[33.59203373085111, 130.3544225568234]","(10469, 10473)","(33.59202883004528, 130.3543347536588)","(33.592039534590626, 130.35442184346329)"
-71.33895424274681,"[33.59209876394234, 130.3545489140137]","(10469, 10473)","(33.592039534590626, 130.35442184346329)","(33.592056004929724, 130.35455442838952)"
-103.8235674040252,"[33.59212302955202, 130.354694151441]","(10469, 10476)","(33.592056004929724, 130.35455442838952)","(33.59207483492229, 130.35470037194384)"
-225.76046679305685,"[33.59221711012869, 130.3547763527654]","(10468, 10469)","(33.59207483492229, 130.35470037194384)","(33.5920645, 130.3546203)"
-354.23974210652125,"[33.5923254106041, 130.3548288486249]","(10469, 10476)","(33.5920645, 130.3546203)","(33.59210940730779, 130.35488240181593)"
Path3
1,"[33.59196348002515, 130.3536429350547]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59192654870547, 130.35366762038703)"
-17.527407859864713,"[33.59192753213792, 130.3537717439517]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59195915065364, 130.35376785759743)"
-23.189090553827977,"[33.59196014821864, 130.3538784665338]","(10469, 10473)","(33.59195915065364, 130.35376785759743)","(33.59197255853381, 130.35387694113388)"
-26.899344804576312,"[33.59199528306125, 130.3540368509761]","(10469, 10473)","(33.59197255853381, 130.35387694113388)","(33.5919922593538, 130.3540372226317)"
-30.674216693635223,"[33.59201104732565, 130.3541470017567]","(10469, 10473)","(33.5919922593538, 130.3540372226317)","(33.59200583153075, 130.35414764285025)"
-39.6238121731084,"[33.59200800888575, 130.3543373128682]","(10469, 10473)","(33.59200583153075, 130.35414764285025)","(33.59202883004528, 130.3543347536588)"
-43.709598313891384,"[33.59203373085111, 130.3544225568234]","(10469, 10473)","(33.59202883004528, 130.3543347536588)","(33.592039534590626, 130.35442184346329)"
-71.33895424274681,"[33.59209876394234, 130.3545489140137]","(10469, 10473)","(33.592039534590626, 130.35442184346329)","(33.592056004929724, 130.35455442838952)"
-103.8235674040252,"[33.59212302955202, 130.354694151441]","(10469, 10476)","(33.592056004929724, 130.35455442838952)","(33.59207483492229, 130.35470037194384)"
-225.76046679305685,"[33.59221711012869, 130.3547763527654]","(10469, 10473)","(33.59207483492229, 130.35470037194384)","(33.5920645, 130.3546203)"
-354.23974210652125,"[33.5923254106041, 130.3548288486249]","(10469, 10476)","(33.5920645, 130.3546203)","(33.59210940730779, 130.35488240181593)"
Path4
1,"[33.59196348002515, 130.3536429350547]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59192654870547, 130.35366762038703)"
-17.527407859864713,"[33.59192753213792, 130.3537717439517]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59195915065364, 130.35376785759743)"
-23.189090553827977,"[33.59196014821864, 130.3538784665338]","(10469, 10473)","(33.59195915065364, 130.35376785759743)","(33.59197255853381, 130.35387694113388)"
-26.899344804576312,"[33.59199528306125, 130.3540368509761]","(10469, 10473)","(33.59197255853381, 130.35387694113388)","(33.5919922593538, 130.3540372226317)"
-30.674216693635223,"[33.59201104732565, 130.3541470017567]","(10469, 10473)","(33.5919922593538, 130.3540372226317)","(33.59200583153075, 130.35414764285025)"
-39.6238121731084,"[33.59200800888575, 130.3543373128682]","(10469, 10473)","(33.59200583153075, 130.35414764285025)","(33.59202883004528, 130.3543347536588)"
-43.709598313891384,"[33.59203373085111, 130.3544225568234]","(10469, 10473)","(33.59202883004528, 130.3543347536588)","(33.592039534590626, 130.35442184346329)"
-110.27343905014726,"[33.59209876394234, 130.3545489140137]","(10468, 10469)","(33.592039534590626, 130.35442184346329)","(33.5920645, 130.3546203)"
-148.93141365453482,"[33.59212302955202, 130.354694151441]","(10469, 10476)","(33.5920645, 130.3546203)","(33.59207483492229, 130.35470037194384)"
-268.3075713860157,"[33.59221711012869, 130.3547763527654]","(10469, 10476)","(33.59207483492229, 130.35470037194384)","(33.59209087429497, 130.35480765011982)"
-390.603497050545,"[33.5923254106041, 130.3548288486249]","(10469, 10476)","(33.59209087429497, 130.35480765011982)","(33.59210940730779, 130.35488240181593)"
Path5
1,"[33.59196348002515, 130.3536429350547]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59192654870547, 130.35366762038703)"
-17.527407859864713,"[33.59192753213792, 130.3537717439517]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59195915065364, 130.35376785759743)"
-23.189090553827977,"[33.59196014821864, 130.3538784665338]","(10469, 10473)","(33.59195915065364, 130.35376785759743)","(33.59197255853381, 130.35387694113388)"
-26.899344804576312,"[33.59199528306125, 130.3540368509761]","(10469, 10473)","(33.59197255853381, 130.35387694113388)","(33.5919922593538, 130.3540372226317)"
-30.674216693635223,"[33.59201104732565, 130.3541470017567]","(10469, 10473)","(33.5919922593538, 130.3540372226317)","(33.59200583153075, 130.35414764285025)"
-39.6238121731084,"[33.59200800888575, 130.3543373128682]","(10469, 10473)","(33.59200583153075, 130.35414764285025)","(33.59202883004528, 130.3543347536588)"
-43.709598313891384,"[33.59203373085111, 130.3544225568234]","(10469, 10473)","(33.59202883004528, 130.3543347536588)","(33.592039534590626, 130.35442184346329)"
-110.27343905014726,"[33.59209876394234, 130.3545489140137]","(10469, 10476)","(33.592039534590626, 130.35442184346329)","(33.5920645, 130.3546203)"
-148.9609394853126,"[33.59212302955202, 130.354694151441]","(10469, 10476)","(33.5920645, 130.3546203)","(33.59207483492229, 130.35470037194384)"
-268.3370972167935,"[33.59221711012869, 130.3547763527654]","(10469, 10476)","(33.59207483492229, 130.35470037194384)","(33.59209087429497, 130.35480765011982)"
-390.63302288132274,"[33.5923254106041, 130.3548288486249]","(10469, 10476)","(33.59209087429497, 130.35480765011982)","(33.59210940730779, 130.35488240181593)"
Path6
1,"[33.59196348002515, 130.3536429350547]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59192654870547, 130.35366762038703)"
-17.527407859864713,"[33.59192753213792, 130.3537717439517]","(10469, 10473)","(33.59192654870547, 130.35366762038703)","(33.59195915065364, 130.35376785759743)"
-23.189090553827977,"[33.59196014821864, 130.3538784665338]","(10469, 10473)","(33.59195915065364, 130.35376785759743)","(33.59197255853381, 130.35387694113388)"
-26.899344804576312,"[33.59199528306125, 130.3540368509761]","(10469, 10473)","(33.59197255853381, 130.35387694113388)","(33.5919922593538, 130.3540372226317)"
-30.674216693635223,"[33.59201104732565, 130.3541470017567]","(10469, 10473)","(33.5919922593538, 130.3540372226317)","(33.59200583153075, 130.35414764285025)"
-39.6238121731084,"[33.59200800888575, 130.3543373128682]","(10469, 10473)","(33.59200583153075, 130.35414764285025)","(33.59202883004528, 130.3543347536588)"
-43.709598313891384,"[33.59203373085111, 130.3544225568234]","(10469, 10473)","(33.59202883004528, 130.3543347536588)","(33.592039534590626, 130.35442184346329)"
