prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59176142796277, 130.3517984469704]","(2164, 6541)","(33.591787276831035, 130.35194216105873)","(33.591787276831035, 130.35194216105873)"
-115.62093472611471,"[33.59165890052318, 130.3518344388626]","(2164, 6541)","(33.591787276831035, 130.35194216105873)","(33.59168242552822, 130.35196108285754)"
-232.2076008172819,"[33.59155040516852, 130.3518481013648]","(2164, 6541)","(33.59168242552822, 130.35196108285754)","(33.59157509575248, 130.3519810201117)"
-352.2220121739428,"[33.5914586484745, 130.3518496603988]","(2164, 6541)","(33.59157509575248, 130.3519810201117)","(33.591452550850725, 130.351994729239)"
-468.80777867604024,"[33.59136091548352, 130.3518554606758]","(2164, 6541)","(33.591452550850725, 130.351994729239)","(33.59135523359502, 130.35199063873955)"
-588.5772859413682,"[33.591271799089, 130.3518700619511]","(2164, 6541)","(33.59135523359502, 130.35199063873955)","(33.591294601600694, 130.3519966014026)"
-705.2782353408777,"[33.59118222168981, 130.3518720400802]","(2164, 6541)","(33.591294601600694, 130.3519966014026)","(33.59120749625475, 130.3520122978565)"
-822.0849422480148,"[33.59109977729021, 130.3518680838219]","(2164, 6541)","(33.59120749625475, 130.3520122978565)","(33.59112833531638, 130.35202656272173)"
-938.6932755764064,"[33.59101079500614, 130.3518760131023]","(2164, 6541)","(33.59112833531638, 130.35202656272173)","(33.59104076769445, 130.35204234247817)"
-1078.2151409417236,"[33.59090598768888, 130.3518753257863]","(2164, 9434)","(33.59104076769445, 130.35204234247817)","(33.5907647, 130.3520525)"
-1113.4356851460145,"[33.59081107101737, 130.351957501965]","(9433, 9434)","(33.5907647, 130.3520525)","(33.590763847584974, 130.35195800793034)"
-1132.5290247389291,"[33.59079822994171, 130.3521031962059]","(2164, 9434)","(33.590763847584974, 130.35195800793034)","(33.5907652, 130.352092)"
-1212.9397889585252,"[33.59080740812568, 130.3522291259191]","(2164, 9436)","(33.5907652, 130.352092)","(33.5907675, 130.3521519)"
-1239.1284981418205,"[33.59083148095159, 130.3523704280428]","(8532, 9436)","(33.5907675, 130.3521519)","(33.59079672021128, 130.35237503528583)"
-1259.0047010028993,"[33.5908539695978, 130.3524801471553]","(8532, 9436)","(33.59079672021128, 130.35237503528583)","(33.590818190225725, 130.35248722683585)"
-1266.7030157419777,"[33.59084396160542, 130.3525670507274]","(8532, 9436)","(33.590818190225725, 130.35248722683585)","(33.59082658286388, 130.35256874077015)"
-1271.9089545689005,"[33.59084785080849, 130.3526850679241]","(8532, 9436)","(33.59082658286388, 130.35256874077015)","(33.59083595948054, 130.35268599869693)"
-1275.4860034526057,"[33.59084717187433, 130.3527869415752]","(8532, 9436)","(33.59083595948054, 130.35268599869693)","(33.59084388077077, 130.35278719918057)"
-1279.0779728199723,"[33.59085442222057, 130.3528961074821]","(8532, 9436)","(33.59084388077077, 130.35278719918057)","(33.59085786910905, 130.35289565829274)"
-1288.4662366278242,"[33.59089557736515, 130.3529932872675]","(8532, 9436)","(33.59085786910905, 130.35289565829274)","(33.59087481076051, 130.35299729064906)"
-1316.6220385378836,"[33.59093764613716, 130.3530945406578]","(8532, 9436)","(33.59087481076051, 130.35299729064906)","(33.5908938388713, 130.3531011990374)"
-1338.5796526164006,"[33.5909464555174, 130.3532107576796]","(8532, 9436)","(33.5908938388713, 130.3531011990374)","(33.590908132751544, 130.35321295652682)"
-1354.603247324695,"[33.59094528205097, 130.3533031343224]","(8532, 9436)","(33.590908132751544, 130.35321295652682)","(33.5909134118082, 130.3533049629429)"
-1358.8049348786117,"[33.59094151857643, 130.353455666574]","(8532, 9436)","(33.5909134118082, 130.3533049629429)","(33.590934578805076, 130.35345722802256)"
-1418.7946147822358,"[33.59095343764274, 130.3535997682534]","(8532, 9565)","(33.590934578805076, 130.35345722802256)","(33.5909546, 130.3536754)"
-1463.4881792738204,"[33.5910016467177, 130.3538115043408]","(6001, 9565)","(33.5909546, 130.3536754)","(33.5909645, 130.3537726)"
