prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-34.60551042106823,"[33.59345546926706, 130.362007118883]","(116, 9424)","(33.5934539, 130.3620467)","(33.5934174, 130.3619696)"
-75.42071747621449,"[33.59348258472382, 130.3618963436506]","(9424, 9425)","(33.5934174, 130.3619696)","(33.59343115765254, 130.36187723899346)"
-194.7335287821034,"[33.59355439667925, 130.3618254746593]","(116, 9424)","(33.59343115765254, 130.36187723899346)","(33.593390561068965, 130.36193055543012)"
-317.3515237580492,"[33.59363255792632, 130.3617739469096]","(9424, 9425)","(33.593390561068965, 130.36193055543012)","(33.5934506, 130.3617903)"
-440.2361111980113,"[33.59366479668069, 130.3616541848776]","(9424, 9425)","(33.5934506, 130.3617903)","(33.593431747150184, 130.3617376756445)"
Path2
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-34.60551042106823,"[33.59345546926706, 130.362007118883]","(116, 9424)","(33.5934539, 130.3620467)","(33.5934174, 130.3619696)"
-75.42071747621449,"[33.59348258472382, 130.3618963436506]","(9424, 9425)","(33.5934174, 130.3619696)","(33.59343115765254, 130.36187723899346)"
-195.54848383745502,"[33.59355439667925, 130.3618254746593]","(9423, 9424)","(33.59343115765254, 130.36187723899346)","(33.5933861, 130.3619236)"
-317.35152375804927,"[33.59363255792632, 130.3617739469096]","(9424, 9425)","(33.5933861, 130.3619236)","(33.5934506, 130.3617903)"
-440.2361111980114,"[33.59366479668069, 130.3616541848776]","(9424, 9425)","(33.5934506, 130.3617903)","(33.593431747150184, 130.3617376756445)"
Path3
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-34.60551042106823,"[33.59345546926706, 130.362007118883]","(116, 9424)","(33.5934539, 130.3620467)","(33.5934174, 130.3619696)"
-75.42071747621449,"[33.59348258472382, 130.3618963436506]","(9424, 9425)","(33.5934174, 130.3619696)","(33.59343115765254, 130.36187723899346)"
-195.98481400029098,"[33.59355439667925, 130.3618254746593]","(9424, 9425)","(33.59343115765254, 130.36187723899346)","(33.5934478697073, 130.3618121843461)"
-320.383461675401,"[33.59363255792632, 130.3617739469096]","(9424, 9425)","(33.5934478697073, 130.3618121843461)","(33.5934506, 130.3617903)"
-443.2680491153631,"[33.59366479668069, 130.3616541848776]","(9424, 9425)","(33.5934506, 130.3617903)","(33.593431747150184, 130.3617376756445)"
Path4
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-13.399242992234978,"[33.59345546926706, 130.362007118883]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934388798473, 130.36201497249937)"
-121.25754662417296,"[33.59348258472382, 130.3618963436506]","(116, 6912)","(33.5934388798473, 130.36201497249937)","(33.5934174, 130.3619696)"
-243.4277811017356,"[33.59355439667925, 130.3618254746593]","(116, 9424)","(33.5934174, 130.3619696)","(33.593390561068965, 130.36193055543012)"
-366.0457760776814,"[33.59363255792632, 130.3617739469096]","(9424, 9425)","(33.593390561068965, 130.36193055543012)","(33.5934506, 130.3617903)"
-488.9303635176435,"[33.59366479668069, 130.3616541848776]","(9424, 9425)","(33.5934506, 130.3617903)","(33.593431747150184, 130.3617376756445)"
Path5
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-13.399242992234978,"[33.59345546926706, 130.362007118883]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934388798473, 130.36201497249937)"
-121.61684278512583,"[33.59348258472382, 130.3618963436506]","(116, 9424)","(33.5934388798473, 130.36201497249937)","(33.593404382392, 130.3619509611522)"
-245.22980666873983,"[33.59355439667925, 130.3618254746593]","(9423, 9424)","(33.593404382392, 130.3619509611522)","(33.5933861, 130.3619236)"
-367.0328465893341,"[33.59363255792632, 130.3617739469096]","(9424, 9425)","(33.5933861, 130.3619236)","(33.5934506, 130.3617903)"
-489.9174340292962,"[33.59366479668069, 130.3616541848776]","(9424, 9425)","(33.5934506, 130.3617903)","(33.593431747150184, 130.3617376756445)"
Path6
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-13.399242992234978,"[33.59345546926706, 130.362007118883]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934388798473, 130.36201497249937)"
-121.61684278512583,"[33.59348258472382, 130.3618963436506]","(116, 9424)","(33.5934388798473, 130.36201497249937)","(33.593404382392, 130.3619509611522)"
-244.19750326702265,"[33.59355439667925, 130.3618254746593]","(9424, 9425)","(33.593404382392, 130.3619509611522)","(33.5934478697073, 130.3618121843461)"
-368.5961509421327,"[33.59363255792632, 130.3617739469096]","(9424, 9425)","(33.5934478697073, 130.3618121843461)","(33.5934506, 130.3617903)"
-491.4807383820948,"[33.59366479668069, 130.3616541848776]","(9424, 9425)","(33.5934506, 130.3617903)","(33.593431747150184, 130.3617376756445)"
Path7
1,"[33.59347457162439, 130.3621173241459]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934539, 130.3620467)"
-13.399242992234978,"[33.59345546926706, 130.362007118883]","(116, 6912)","(33.5934539, 130.3620467)","(33.5934388798473, 130.36201497249937)"
-121.25754662417296,"[33.59348258472382, 130.3618963436506]","(116, 6912)","(33.5934388798473, 130.36201497249937)","(33.5934174, 130.3619696)"
-239.88945376160962,"[33.59355439667925, 130.3618254746593]","(6912, 8413)","(33.5934174, 130.3619696)","(33.5934539, 130.3620467)"
-387.52919643779205,"[33.59363255792632, 130.3617739469096]","(8413, 8679)","(33.5934539, 130.3620467)","(33.593745792875204, 130.3619186360107)"
-504.27393672537147,"[33.59366479668069, 130.3616541848776]","(8413, 8679)","(33.593745792875204, 130.3619186360107)","(33.593832268962004, 130.3618516074924)"
