prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59034813850521, 130.3478654736004]","(2184, 10499)","(33.5903116, 130.3478259)","(33.5903116, 130.3478259)"
-12.603706187052694,"[33.59034436664879, 130.3477360234878]","(2184, 10499)","(33.5903116, 130.3478259)","(33.59032100962361, 130.3477336412655)"
-23.443670143922173,"[33.59035640306174, 130.3476283327959]","(2184, 10499)","(33.59032100962361, 130.3477336412655)","(33.590332004017924, 130.34762584429635)"
-36.70905151946804,"[33.59037212751209, 130.3475106508754]","(2184, 10499)","(33.590332004017924, 130.34762584429635)","(33.59034404491253, 130.3475077866838)"
-44.38532022782569,"[33.59037443253546, 130.3473926839701]","(2184, 10499)","(33.59034404491253, 130.3475077866838)","(33.59035597641815, 130.34739080159963)"
-49.413749174730825,"[33.59044652528464, 130.3473022599987]","(2184, 10499)","(33.59035597641815, 130.34739080159963)","(33.590438519494434, 130.34730090462804)"
-77.9437433907144,"[33.59051261659115, 130.3472159934513]","(2184, 10499)","(33.590438519494434, 130.34730090462804)","(33.5905055, 130.3471667)"
-109.14823388673845,"[33.59055382202714, 130.3471363318435]","(2184, 10499)","(33.5905055, 130.3471667)","(33.590511442106646, 130.34712955271982)"
-185.03796619830626,"[33.59056674692183, 130.3470294458143]","(2181, 10499)","(33.590511442106646, 130.34712955271982)","(33.5905405, 130.3469481)"
-194.97151884803287,"[33.59060506060123, 130.3469351494036]","(2181, 2200)","(33.5905405, 130.3469481)","(33.5905971, 130.3469096)"
-237.21934472101657,"[33.59062681163996, 130.3468074930183]","(2200, 9683)","(33.5905971, 130.3469096)","(33.5906021, 130.3468602)"
-256.1615024037212,"[33.59065048141312, 130.3466768277702]","(2187, 9683)","(33.5906021, 130.3468602)","(33.590621534955716, 130.34667380951993)"
-261.59009802384486,"[33.59064087647348, 130.3466051538757]","(2187, 9683)","(33.590621534955716, 130.34667380951993)","(33.590628824717015, 130.3466038972377)"
-265.65591907742424,"[33.59064836989491, 130.3464857955746]","(2187, 9683)","(33.590628824717015, 130.3466038972377)","(33.59064121695888, 130.3464850497372)"
-269.86503846315213,"[33.59065623212009, 130.3463384752444]","(2187, 9683)","(33.59064121695888, 130.3464850497372)","(33.590664047847845, 130.34633980099497)"
-274.8544867324086,"[33.59069170433431, 130.3462371547989]","(2187, 9683)","(33.590664047847845, 130.34633980099497)","(33.590681745846005, 130.34623546558043)"
-286.2493154435758,"[33.59072356394827, 130.3461004794858]","(2187, 9683)","(33.590681745846005, 130.34623546558043)","(33.590698690753115, 130.34609793590644)"
-314.7604404424335,"[33.59075541518032, 130.3459841051422]","(2187, 9683)","(33.590698690753115, 130.34609793590644)","(33.59071079788447, 130.34597954249423)"
-349.2809158486178,"[33.59077115639447, 130.3458749057076]","(2187, 9683)","(33.59071079788447, 130.34597954249423)","(33.5907213010078, 130.34587313630973)"
-421.43926556013946,"[33.59079185969531, 130.3458030727975]","(2187, 9683)","(33.5907213010078, 130.34587313630973)","(33.5907228, 130.3458309)"
-514.8152765323665,"[33.59080420623868, 130.3458030727975]","(2187, 9683)","(33.5907228, 130.3458309)","(33.5907228, 130.3458309)"
-645.4781497375335,"[33.59090593739747, 130.3457116597615]","(2187, 9683)","(33.5907228, 130.3458309)","(33.5907228, 130.3458309)"
Path2
1,"[33.59034813850521, 130.3478654736004]","(2184, 10499)","(33.5903116, 130.3478259)","(33.5903116, 130.3478259)"
-12.603706187052694,"[33.59034436664879, 130.3477360234878]","(2184, 10499)","(33.5903116, 130.3478259)","(33.59032100962361, 130.3477336412655)"
-23.443670143922173,"[33.59035640306174, 130.3476283327959]","(2184, 10499)","(33.59032100962361, 130.3477336412655)","(33.590332004017924, 130.34762584429635)"
-36.70905151946804,"[33.59037212751209, 130.3475106508754]","(2184, 10499)","(33.590332004017924, 130.34762584429635)","(33.59034404491253, 130.3475077866838)"
-44.38532022782569,"[33.59037443253546, 130.3473926839701]","(2184, 10499)","(33.59034404491253, 130.3475077866838)","(33.59035597641815, 130.34739080159963)"
-49.413749174730825,"[33.59044652528464, 130.3473022599987]","(2184, 10499)","(33.59035597641815, 130.34739080159963)","(33.590438519494434, 130.34730090462804)"
-77.9437433907144,"[33.59051261659115, 130.3472159934513]","(2184, 10499)","(33.590438519494434, 130.34730090462804)","(33.5905055, 130.3471667)"
-109.14823388673845,"[33.59055382202714, 130.3471363318435]","(2184, 10499)","(33.5905055, 130.3471667)","(33.590511442106646, 130.34712955271982)"
-185.03796619830626,"[33.59056674692183, 130.3470294458143]","(2181, 10499)","(33.590511442106646, 130.34712955271982)","(33.5905405, 130.3469481)"
-194.97151884803287,"[33.59060506060123, 130.3469351494036]","(2181, 2200)","(33.5905405, 130.3469481)","(33.5905971, 130.3469096)"
-237.21934472101657,"[33.59062681163996, 130.3468074930183]","(2200, 9683)","(33.5905971, 130.3469096)","(33.5906021, 130.3468602)"
-363.4976184023836,"[33.59065048141312, 130.3466768277702]","(9680, 9683)","(33.5906021, 130.3468602)","(33.59062571685523, 130.34686333584798)"
