root info:  osm {'version': '0.6', 'generator': 'CGImap 0.8.6 (2356102 spike-08.openstreetmap.org)', 'copyright': 'OpenStreetMap and contributors', 'attribution': 'http://www.openstreetmap.org/copyright', 'license': 'http://opendatacommons.org/licenses/odbl/1-0/'}
nspaces =  {}
node 1067641030 : ('33.6414378', '130.6472568')
node 1067641046 : ('33.6658401', '130.6626797')
node 1067641113 : ('33.6372418', '130.6536460')
node 1067641173 : ('33.6497812', '130.6750655')
node 1067641194 : ('33.6500936', '130.6734155')
node 1067641400 : ('33.6693979', '130.6624901')
node 1067641429 : ('33.6501676', '130.6764188')
node 1067641435 : ('33.6606584', '130.6707449')
node 1067641445 : ('33.6508465', '130.6774975')
node 1067641447 : ('33.6549740', '130.6756427')
node 1067641613 : ('33.6596470', '130.6508191')
node 1067641616 : ('33.6490593', '130.6730270')
node 1067641670 : ('33.6674624', '130.6781015')
node 1067641947 : ('33.6724636', '130.6635014')
node 1067641953 : ('33.6665309', '130.6609496')
node 1067641968 : ('33.6526598', '130.6745569')
node 1067641970 : ('33.6690918', '130.6613122')
node 1067641996 : ('33.6346499', '130.6524797')
node 1067642024 : ('33.6571790', '130.6533350')
node 1067642143 : ('33.6340464', '130.6534821')
node 1067642238 : ('33.6583210', '130.6514740')
node 1067642276 : ('33.6537421', '130.6782864')
node 1067642370 : ('33.6436791', '130.6487021')
node 1067642409 : ('33.6531008', '130.6766748')
node 1067642736 : ('33.6499499', '130.6757592')
node 1067642793 : ('33.6737831', '130.6673442')
node 1067642906 : ('33.6416119', '130.6477436')
node 1067642922 : ('33.6680867', '130.6778714')
node 1067642983 : ('33.6599200', '130.6519670')
node 1067643314 : ('33.6575335', '130.6738385')
node 1067643460 : ('33.6663532', '130.6741959')
node 1067643681 : ('33.6733470', '130.6658360')
node 1067643726 : ('33.6368121', '130.6532042')
node 1067643799 : ('33.6514311', '130.6769380')
node 1067643849 : ('33.6715443', '130.6694205')
node 1067643899 : ('33.6596988', '130.6827229')
node 1067644078 : ('33.6587630', '130.6533400')
node 1067644140 : ('33.6672376', '130.6665292')
node 1067644511 : ('33.6592220', '130.6476900')
node 1067644586 : ('33.6610660', '130.6505200')
node 1067644795 : ('33.6700426', '130.6768736')
node 1067644841 : ('33.6597400', '130.6527920')
node 1067644925 : ('33.6410273', '130.6677909')
node 1067645101 : ('33.6438577', '130.6500976')
node 1067645149 : ('33.6584940', '130.6498550')
node 1067645209 : ('33.6679420', '130.6781213')
node 1067645229 : ('33.6701430', '130.6740410')
node 1067645404 : ('33.6366254', '130.6527325')
node 1067645499 : ('33.6527516', '130.6786198')
node 1067645651 : ('33.6470061', '130.6701353')
node 1067645711 : ('33.6586429', '130.6838225')
node 1067645797 : ('33.6586060', '130.6511760')
node 1067645816 : ('33.6343161', '130.6514071')
node 1067645823 : ('33.6598560', '130.6524330')
node 1067645899 : ('33.6608270', '130.6481110')
node 1067645927 : ('33.6701421', '130.6724951')
node 1067646124 : ('33.6607321', '130.6743576')
node 1067646129 : ('33.6351601', '130.6522634')
node 1067646160 : ('33.6410621', '130.6678204')
node 1067646179 : ('33.6674954', '130.6611991')
node 1067646486 : ('33.6509984', '130.6769064')
node 1067646518 : ('33.6474354', '130.6477315')
node 1067646610 : ('33.6497853', '130.6741929')
node 1067646782 : ('33.6595200', '130.6533060')
node 1067647003 : ('33.6673212', '130.6688460')
node 1067647006 : ('33.6346511', '130.6496242')
node 1067647025 : ('33.6618526', '130.6708735')
node 1067647031 : ('33.6573570', '130.6523660')
node 1067647185 : ('33.6661976', '130.6630879')
node 1067647231 : ('33.6376004', '130.6513990')
node 1067647348 : ('33.6461579', '130.6679784')
node 1067647447 : ('33.6424592', '130.6512385')
node 1067647528 : ('33.6599000', '130.6503610')
node 1067647578 : ('33.6631434', '130.6680334')
node 1067647589 : ('33.6605795', '130.6754044')
node 1067647757 : ('33.6590910', '130.6538930')
node 1067647830 : ('33.6503841', '130.6763253')
node 1067648164 : ('33.6587110', '130.6489770')
node 1067648178 : ('33.6571610', '130.6526970')
node 1067648372 : ('33.6698532', '130.6730308')
node 1067648430 : ('33.6502468', '130.6765989')
node 1067648475 : ('33.6610715', '130.6709198')
node 1067648543 : ('33.6507927', '130.6769637')
node 1067648600 : ('33.6464128', '130.6704808')
node 1067648704 : ('33.6431443', '130.6497751')
node 1067648714 : ('33.6531073', '130.6763362')
node 1067648746 : ('33.6619401', '130.6692201')
node 1067648862 : ('33.6581060', '130.6538210')
node 1067648887 : ('33.6598010', '130.6512310')
node 1067649216 : ('33.6629251', '130.6790123')
node 1067649446 : ('33.6377252', '130.6533009')
node 1067649651 : ('33.6471344', '130.6482075')
node 1067649710 : ('33.6702540', '130.6744720')
node 1067649850 : ('33.6597070', '130.6471490')
node 1067650026 : ('33.6501948', '130.6734870')
node 1067650271 : ('33.6654164', '130.6756963')
node 1067650316 : ('33.6468717', '130.6694188')
node 1067650360 : ('33.6732932', '130.6652848')
node 1067650698 : ('33.6693992', '130.6773107')
node 1067650815 : ('33.6724705', '130.6636824')
node 1067650882 : ('33.6603435', '130.6834873')
node 1067650977 : ('33.6595420', '130.6506840')
node 1067650978 : ('33.6639689', '130.6767297')
node 1067651092 : ('33.6640802', '130.6693302')
node 1067651253 : ('33.6514425', '130.6768919')
