ID,u1,u2,probability,segment_type
636,9583,9589,2.07E-34,tertiary
640,9583,9589,1.16E-36,tertiary
644,9583,9589,1.11E-10,tertiary
648,9583,9589,3.02E-22,tertiary
652,9583,9589,2.19E-62,tertiary
656,9589,9588,2.54E-31,service
656,9588,9590,2.54E-31,service
660,9588,9415,2.60E-25,footway
664,9588,9415,1.37E-18,footway
668,9588,9415,1.30E-12,footway
672,9588,9415,9.98E-19,footway
676,9588,9415,1.00E-10,footway
680,9588,9415,1.49E-19,footway
684,9415,9591,0.000301383,footway
688,9415,10550,0.004413595,footway
692,10550,9414,4.40E-05,footway
