node_id,lat,lon
0,32.4970358,131.6720243
1,32.4979817,131.7138135
2,32.4982122,131.7120938
3,32.501595,131.6633504
4,32.5027578,131.6691508
5,32.5032056,131.6700148
6,32.5039583,131.669302
7,32.5043944,131.6764243
8,32.5045732,131.6771878
9,32.5046133,131.6745294
10,32.5047405,131.6721596
11,32.5045861,131.6684956
12,32.5046824,131.6745236
13,32.5048887,131.6707227
14,32.5048361,131.6682789
15,32.504934,131.6727171
16,32.5048244,131.6694329
17,32.5050805,131.6779213
18,32.505062,131.6691951
19,32.5049331,131.6720638
20,32.5054954,131.6741477
21,32.5053014,131.6703585
22,32.5053018,131.6689588
23,32.5054021,131.6701137
24,32.505463,131.678515
25,32.5055159,131.6717901
26,32.5054587,131.6705807
27,32.5058366,131.6859814
28,32.5055267,131.6785454
29,32.5055783,131.6699346
30,32.5056769,131.6709028
31,32.5056858,131.6911655
32,32.505805,131.6908874
33,32.5060514,131.6991822
34,32.5060817,131.6999968
35,32.5062054,131.6779218
36,32.506177,131.6697011
37,32.5065458,131.6786206
38,32.5061774,131.6736316
39,32.5063048,131.6918482
40,32.5064042,131.671951
41,32.5063865,131.7016185
42,32.5065296,131.6919837
43,32.5065381,131.6913152
44,32.5066198,131.6911437
45,32.506907,131.6787651
46,32.5065997,131.6821002
47,32.5067383,131.6746299
48,32.5068049,131.6860065
49,32.5069943,131.6909199
50,32.5071065,131.6953458
51,32.507349,131.6924274
52,32.507358,131.6733481
53,32.5074112,131.6906511
54,32.5075571,131.6713137
55,32.5074835,131.6906071
56,32.5075688,131.6847681
57,32.5076468,131.6838613
58,32.5078209,131.6829173
59,32.5078822,131.674101
60,32.5078645,131.6769818
61,32.507881,131.6825905
62,32.5079684,131.6820521
63,32.5079837,131.6710888
64,32.5080509,131.6814922
65,32.508065,131.6814289
66,32.5081867,131.6797935
67,32.5082186,131.6768807
68,32.5082107,131.6716429
69,32.5082498,131.6803502
70,32.5083272,131.6770365
71,32.5084057,131.6744943
72,32.5083265,131.6812291
73,32.5084213,131.6800833
74,32.508538,131.6734913
75,32.5088894,131.6794051
76,32.5086251,131.6818555
77,32.5087714,131.6727068
78,32.508631,131.6810427
79,32.508622,131.670778
80,32.5087693,131.680399
81,32.5090478,131.672456
82,32.5088159,131.6825651
83,32.508883,131.6714382
84,32.5089781,131.6707195
85,32.5090008,131.6808314
86,32.5089187,131.6731344
87,32.5090576,131.6825342
88,32.5091914,131.6712616
89,32.5091924,131.6797211
90,32.5093149,131.6721968
91,32.5092211,131.6816742
92,32.5093104,131.6752866
93,32.5093318,131.6787312
94,32.5092723,131.6728044
95,32.5094247,131.6824537
96,32.5095893,131.6783625
97,32.5095586,131.6770746
98,32.509629,131.6790081
99,32.50966,131.6710639
100,32.5098356,131.6777561
101,32.5096955,131.6714304
102,32.5097253,131.6718274
103,32.5095781,131.6815956
104,32.5097605,131.6805542
105,32.5096961,131.6756586
106,32.5098254,131.6761279
107,32.5098518,131.6815321
108,32.509784,131.6823685
109,32.5098118,131.6803663
110,32.5098691,131.67864
111,32.5099544,131.682323
112,32.5101472,131.6836218
113,32.5103016,131.6796111
114,32.5104675,131.6793849
115,32.5103303,131.6822384
116,32.5106715,131.6942318
117,32.5106688,131.6805459
118,32.5105027,131.6821785
119,32.5107447,131.6920168
120,32.5109024,131.6799873
121,32.5111158,131.6805804
122,32.5109943,131.6831458
123,32.5111664,131.6803132
124,32.5111004,131.6819019
125,32.5116403,131.6806128
126,32.5118692,131.6807107
127,32.5119995,131.6814728
128,32.511753,131.6781061
129,32.5119468,131.6783593
130,32.5121491,131.6813699
131,32.5121793,131.6786516
132,32.5119807,131.6916966
133,32.5121914,131.691674
134,32.5122525,131.6790836
135,32.5122098,131.6931336
136,32.5122049,131.6891362
137,32.5125565,131.6771859
138,32.5124444,131.7002693
139,32.5127804,131.6774927
140,32.5126881,131.7007194
141,32.5128033,131.6790867
142,32.5130207,131.7008283
143,32.5131361,131.700874
144,32.5129686,131.6814411
145,32.513013,131.6778007
146,32.5132259,131.6811763
147,32.5134651,131.6784059
148,32.5135937,131.6803114
149,32.5135763,131.6797483
150,32.5136583,131.7009443
151,32.5138549,131.678762
152,32.5140902,131.6809114
153,32.5136249,131.677424
154,32.5141133,131.7006343
155,32.5140908,131.6800491
156,32.5142891,131.6789466
157,32.5140382,131.6773657
158,32.5144364,131.6809202
159,32.5144432,131.6805083
160,32.5144577,131.680067
161,32.5144768,131.6796093
162,32.5145958,131.6791993
163,32.51469,131.707181
164,32.5149447,131.6787814
165,32.5151054,131.6986354
166,32.5151478,131.678012
167,32.5153802,131.6783614
168,32.5154027,131.6796236
169,32.5156054,131.6786964
170,32.5154366,131.6800745
171,32.5154791,131.6809285
172,32.515822,131.679014
173,32.5160566,131.679333
174,32.5159377,131.6772166
175,32.5161813,131.677585
176,32.5163048,131.6796724
177,32.5164074,131.6779143
178,32.5166336,131.6782222
179,32.5167546,131.6803384
180,32.51686,131.678542
181,32.516982,131.676209
182,32.5168912,131.6768998
183,32.5170958,131.6789045
184,32.5173393,131.6792416
185,32.517311,131.679809
186,32.5172293,131.6765731
187,32.517341,131.6775364
188,32.517561,131.6795518
189,32.5175703,131.6778509
190,32.5178041,131.678209
191,32.5177779,131.6754841
192,32.518291,131.676634
193,32.517988,131.6758824
194,32.518111,131.687151
195,32.5181481,131.6752498
196,32.5181664,131.6852646
197,32.518263,131.678349
198,32.5182114,131.6752132
199,32.5183186,131.6756496
200,32.5184638,131.6805271
201,32.5185253,131.6780859
202,32.5186253,131.6774089
203,32.5187534,131.6827191
204,32.5187376,131.6849711
205,32.5188807,131.683739
206,32.5189859,131.6809845
207,32.5189877,131.6858014
208,32.5189836,131.680097
209,32.5189422,131.6771462
210,32.5189925,131.6828143
211,32.5191173,131.6859964
212,32.5191297,131.6775658
213,32.519251,131.6847003
214,32.5192157,131.6800317
215,32.5194246,131.6793215
216,32.5195648,131.6773199
217,32.5196063,131.6850467
218,32.5196231,131.6844989
219,32.5196902,131.6842213
220,32.5197569,131.6746055
221,32.5197822,131.6864232
222,32.5198125,131.6681215
223,32.5199608,131.6832194
224,32.5198993,131.6797838
225,32.5199096,131.6786646
226,32.5199263,131.6771844
227,32.5204367,131.68135
228,32.520128,131.689172
229,32.5201115,131.6766192
230,32.5202245,131.6782357
231,32.5203541,131.6770677
232,32.5204604,131.6779078
233,32.520543,131.672298
234,32.520537,131.6744106
235,32.5206163,131.674847
236,32.5207628,131.6775751
237,32.5208118,131.6825131
238,32.5208983,131.6764364
239,32.5209384,131.6782961
240,32.520988,131.6747684
241,32.5210311,131.6794598
242,32.5209833,131.6769198
243,32.5210777,131.6835463
244,32.5210923,131.6774878
245,32.521118,131.67553
246,32.5211981,131.6696217
247,32.5211372,131.67789
248,32.521209,131.6789308
249,32.52127,131.676341
250,32.521297,131.6728332
251,32.5213733,131.6559628
252,32.5213342,131.678528
253,32.5214534,131.6774065
254,32.5214399,131.6529764
255,32.5216332,131.6612124
256,32.5218559,131.656015
257,32.5217557,131.6781801
258,32.5217825,131.6601935
259,32.521887,131.6812423
260,32.5218606,131.6820076
261,32.5214453,131.6741982
262,32.5220036,131.6620439
263,32.5220419,131.6818451
264,32.5223559,131.6760608
265,32.5220654,131.6813126
266,32.5220758,131.6744954
267,32.5221208,131.6548578
268,32.5221566,131.68204
269,32.5222084,131.6730546
270,32.5221976,131.6739043
271,32.5222085,131.6752618
272,32.5222906,131.6828781
273,32.5223266,131.6797607
274,32.5222335,131.6557675
275,32.5223398,131.6792017
276,32.5223513,131.6787598
277,32.5223589,131.6782761
278,32.5225027,131.6573117
279,32.522437,131.679761
280,32.522487,131.674403
281,32.5225036,131.6812972
282,32.5225857,131.6575969
283,32.5227257,131.6729931
284,32.5227587,131.6759648
285,32.5227536,131.6815965
286,32.5228494,131.6584928
287,32.5228472,131.6820846
288,32.5228817,131.6742946
289,32.5232026,131.6639337
290,32.522954,131.6826973
291,32.5230389,131.6806721
292,32.5230204,131.6750644
293,32.5230922,131.6754471
294,32.5231479,131.6781662
295,32.5231311,131.6594488
296,32.5235734,131.6741155
297,32.5231545,131.6758632
298,32.5232205,131.6606248
299,32.5232324,131.678632
300,32.5232223,131.654396
301,32.523277,131.6732114
302,32.5232442,131.6547572
303,32.5233096,131.6790558
304,32.5233016,131.6556745
305,32.5234365,131.6642834
306,32.5233589,131.6565957
307,32.5240279,131.6748166
308,32.5233462,131.6814448
309,32.5234051,131.6796211
310,32.5234213,131.6575155
311,32.5234105,131.6684654
312,32.5234501,131.6819896
313,32.5235102,131.6801202
314,32.523513,131.6589015
315,32.523614,131.665456
316,32.5237146,131.6757308
317,32.5237302,131.6634072
318,32.5242775,131.6823559
319,32.5238822,131.644939
320,32.5239299,131.6853207
321,32.524022,131.6748348
322,32.5240736,131.6812662
323,32.524096,131.6583695
324,32.5241302,131.6546864
325,32.524182,131.6818847
326,32.5241647,131.6779079
327,32.5242606,131.664667
328,32.5242594,131.678369
329,32.5244199,131.6792728
330,32.5243803,131.6829489
331,32.5244376,131.6793585
332,32.5245434,131.6574282
333,32.5244828,131.6727443
334,32.5245874,131.665513
335,32.5246472,131.6777907
336,32.524652,131.655529
337,32.5248786,131.6777347
338,32.5249648,131.6781976
339,32.5250241,131.6564484
340,32.5249419,131.6767778
341,32.5249819,131.6725415
342,32.5251222,131.6791007
343,32.5251375,131.6791889
344,32.5250677,131.66671
345,32.5251543,131.6760696
346,32.5251472,131.672474
347,32.5251949,131.674304
348,32.5253068,131.6752854
349,32.525212,131.6653262
350,32.525434,131.680775
351,32.5253879,131.6768295
352,32.5255037,131.6752441
