u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,service,width,bridge,maxspeed,tunnel,access
312506485,1792691433,0,258870477,tertiary,True,False,46.196,"LINESTRING (130.3622786 33.5853456, 130.3626935 33.5855761)",3,,明治通り,,7.5,,,,
312506489,1792690598,0,28444326,tertiary,False,False,68.339,"LINESTRING (130.3561485 33.5820059, 130.3554253 33.5818846)",2,,,,5,,,,
312506489,1795216317,0,28444326,tertiary,False,True,57.911,"LINESTRING (130.3561485 33.5820059, 130.3567568 33.582126)",2,,,,5,,,,
312506489,1792665663,0,167937948,residential,False,False,112.477,"LINESTRING (130.3561485 33.5820059, 130.3563829 33.5810134)",,,,,,,,,
312506493,2180594972,0,190906720,unclassified,False,False,8.022,"LINESTRING (130.3538753 33.5824608, 130.3538699 33.5823888)",,,,,,,,,
312506493,9833912369,0,190906720,unclassified,False,True,6.243,"LINESTRING (130.3538753 33.5824608, 130.3538612 33.5825157)",,,,,,,,,
312506493,770594831,0,"[728404432, 728404433, 728404434, 728404435]",tertiary,True,False,365.776,"LINESTRING (130.3538753 33.5824608, 130.3571177 33.5830263, 130.3573228 33.5830626, 130.357526 33.5831012, 130.3577394 33.5831374)","['4', '3']",,明治通り,,"['7.5', '10']",,,,
312506494,9833912374,0,168813429,residential,False,False,3.597,"LINESTRING (130.3536834 33.5832065, 130.3536452 33.5832007)",,,,,,,,,
312506494,1800129139,0,190899601,unclassified,False,False,93.82,"LINESTRING (130.3536834 33.5832065, 130.3534797 33.584033)",,,,,,,,,
312506494,9833912369,0,190906720,unclassified,False,False,78.56,"LINESTRING (130.3536834 33.5832065, 130.3538612 33.5825157)",,,,,,,,,
312506496,1800129165,0,190899245,unclassified,False,True,94.775,"LINESTRING (130.3532989 33.5864447, 130.3533077 33.5855924)",,,,,,,,,
312506496,1800129133,0,730247813,residential,False,True,73.86,"LINESTRING (130.3532989 33.5864447, 130.3525016 33.5864368)",,,,,,,,,
312506496,1800129155,0,168813428,residential,False,False,80.643,"LINESTRING (130.3532989 33.5864447, 130.354056 33.586475, 130.3541683 33.5864819)",,,,,,,,,
312506496,1800129170,0,"[190899248, 190899232]",unclassified,False,"[False, True]",74.224,"LINESTRING (130.3532989 33.5864447, 130.3532647 33.5866204, 130.3532701 33.5871099)",,,,,,,,,
312506499,767193122,0,28444327,tertiary,False,False,69.938,"LINESTRING (130.3742327 33.5808454, 130.3739289 33.5814212)",4,,城南線,,10,,,,
312506499,1107178997,0,28444327,tertiary,False,True,104.703,"LINESTRING (130.3742327 33.5808454, 130.3746927 33.5799853)",4,,城南線,,10,,,,
312506499,5504295796,0,169524516,residential,False,False,8.017,"LINESTRING (130.3742327 33.5808454, 130.3741527 33.5808179)",,,,,,,,,
312506501,5505692652,0,163537962,secondary,False,False,8.299,"LINESTRING (130.371674 33.5828729, 130.3716578 33.5829463)",2,557,東油山唐人線,,5,,,,
312506501,787725882,0,179303657,secondary,False,True,28.279,"LINESTRING (130.371674 33.5828729, 130.3713749 33.582822)",4,557,東油山唐人線,,10,,,,
312506501,1896447730,0,208041323,tertiary,False,True,41.525,"LINESTRING (130.371674 33.5828729, 130.372116 33.5829351)",4,,,,10,,,,
