真幅道路	K19_4689012090_1
33.589267265	130.255471463
33.589276033	130.255385308
33.589265548	130.255350923
33.589129618	130.255327528
33.589099923	130.255352346
33.589091304	130.255448412

真幅道路	K19_4689012090_2
33.589483375	130.255393977
33.589344365	130.255368130
33.589323920	130.255386728
33.589315173	130.255476546

真幅道路	K19_4689012090_3
33.588494640	130.254453340
33.588509997	130.254383181

真幅道路	K19_4689012090_4
33.588543872	130.254393663
33.588539786	130.254463725

真幅道路	K19_4689012090_5
33.587419526	130.252502520
33.587434818	130.252536744
33.587998460	130.252630663

真幅道路	K19_4689012090_6
33.587982004	130.252782956
33.587397757	130.252681166

真幅道路	K19_4689012090_7
33.589042941	130.255442686
33.589054656	130.255336791
33.589041060	130.255309866
33.588867135	130.255280549
33.588849763	130.255300413
33.588810947	130.255612186

真幅道路	K19_4689012090_8
33.588759854	130.255603774
33.588763022	130.255599797
33.588808240	130.255202732
33.589106168	130.255251453
33.589116406	130.255274636
33.589494801	130.255344752

真幅道路	K19_4689012090_9
33.588331244	130.250000000
33.588318582	130.250119986

真幅道路	K19_4689012090_10
33.588269337	130.250111348
33.588271268	130.250105750
33.588278571	130.250046110
33.588283684	130.250000000

真幅道路	K19_4689012090_11
33.584084231	130.252379697
33.584054895	130.252660739

真幅道路	K19_4689012090_12
33.584025787	130.252655808
33.584029410	130.252633330

真幅道路	K19_4689012090_13
33.585419106	130.255064447
33.585455031	130.254774340

真幅道路	K19_4689012090_14
33.586146246	130.254144110
33.586137564	130.254217646

真幅道路	K19_4689012090_15
33.591374760	130.256868498
33.591376514	130.256868901
33.591383260	130.256866149
33.591398876	130.256839081

真幅道路	K19_4689012090_16
33.591430626	130.256871130
33.591417232	130.256892792
33.591415026	130.256900891
33.591415057	130.256905682

真幅道路	K19_4689012090_17
33.584840432	130.254963573
33.584845863	130.254937077

真幅道路	K19_4689012090_18
33.584029410	130.252633330
33.584059405	130.252374525

真幅道路	K19_4689012090_19
33.585455031	130.254774340
33.585479789	130.254575176

真幅道路	K19_4689012090_20
33.586137564	130.254217646
33.586087487	130.254642689

真幅道路	K19_4689012090_21
33.584845863	130.254937077
33.584897608	130.254474334

真幅道路	K19_4689012090_22
33.584920204	130.254570159
33.584872387	130.254969525

真幅道路	K19_4689012090_23
33.584949050	130.254482340
33.584928765	130.254494675
33.584924517	130.254537803

真幅道路	K19_4689012090_24
33.583437795	130.258110864
33.583333333	130.258151316

真幅道路	K19_4689012090_25
33.584924517	130.254537803
33.584920204	130.254570159

真幅道路	K19_4689012090_26
33.588473288	130.254481577
33.588494640	130.254453340

真幅道路	K19_4689012090_27
33.588539786	130.254463725
33.588537932	130.254492796

真幅道路	K19_4689012090_28
33.588509997	130.254383181
33.588543872	130.254393663

真幅道路	K19_4689012090_29
33.589494801	130.255344752
33.589483375	130.255393977

真幅道路	K19_4689012090_30
33.589315173	130.255476546
33.589267265	130.255471463

真幅道路	K19_4689012090_31
33.589091304	130.255448412
33.589042941	130.255442686

真幅道路	K19_4689012090_32
33.591398876	130.256839081
33.591430626	130.256871130

真幅道路	K19_4689012090_33
33.584059405	130.252374525
33.584084231	130.252379697

真幅道路	K19_4689012090_34
33.588931352	130.257789769
33.588972355	130.257801161

真幅道路	K19_4689012090_35
33.588639980	130.257736781
33.588682685	130.257746219

真幅道路	K19_4689012090_36
33.584016262	130.258165379
33.583931549	130.258142296

真幅道路	K19_4689012090_37
33.583794455	130.258120200
33.583747764	130.258107565

真幅道路	K19_4689012090_38
33.588121210	130.257653313
33.588182643	130.257658389

真幅道路	K19_4689012090_39
